time	temp	oxy	light	PST
1510096200	0.945447	11.833087	1116.6279	11/7/2017 15:10
1510096800	0.934326	11.838699	1266.8469	11/7/2017 15:20
1510097400	0.934326	11.838699	1311.9126	11/7/2017 15:30
1510098000	0.934326	11.838699	966.4089	11/7/2017 15:40
1510098600	0.923202	11.844316	721.0512	11/7/2017 15:50
1510099200	0.923202	11.853725	415.6059	11/7/2017 16:00
1510099800	0.912075	11.821745	335.4891	11/7/2017 16:10
1510100400	0.900944	11.855563	190.2774	11/7/2017 16:20
1510101000	0.889811	11.832975	105.1533	11/7/2017 16:30
1510101600	0.867534	11.844224	35.0511	11/7/2017 16:40
1510102200	0.867534	11.825434	10.0146	11/7/2017 16:50
1510102800	0.845244	11.846083	0	11/7/2017 17:00
1510103400	0.834094	11.851719	0	11/7/2017 17:10
1510104000	0.811785	11.863005	0	11/7/2017 17:20
1510104600	0.800626	11.840427	0	11/7/2017 17:30
1510105200	0.800626	11.849829	0	11/7/2017 17:40
1510105800	0.789464	11.87431	0	11/7/2017 17:50
1510106400	0.778298	11.870544	0	11/7/2017 18:00
1510107000	0.767129	11.847959	0	11/7/2017 18:10
1510107600	0.744782	11.84046	0	11/7/2017 18:20
1510108200	0.733603	11.855515	0	11/7/2017 18:30
1510108800	0.722421	11.861176	0	11/7/2017 18:40
1510109400	0.722421	11.870592	0	11/7/2017 18:50
1510110000	0.722421	11.861176	0	11/7/2017 19:00
1510110600	0.722421	11.870592	0	11/7/2017 19:10
1510111200	0.711237	11.866841	0	11/7/2017 19:20
1510111800	0.700048	11.891368	0	11/7/2017 19:30
1510112400	0.700048	11.863095	0	11/7/2017 19:40
1510113000	0.700048	11.863095	0	11/7/2017 19:50
1510113600	0.688857	11.878185	0	11/7/2017 20:00
1510114200	0.688857	11.878185	0	11/7/2017 20:10
1510114800	0.688857	11.868765	0	11/7/2017 20:20
1510115400	0.688857	11.868765	0	11/7/2017 20:30
1510116000	0.677663	11.883865	0	11/7/2017 20:40
1510116600	0.677663	11.865022	0	11/7/2017 20:50
1510117200	0.677663	11.855612	0	11/7/2017 21:00
1510117800	0.677663	11.865022	0	11/7/2017 21:10
1510118400	0.677663	11.855612	0	11/7/2017 21:20
1510119000	0.677663	11.883865	0	11/7/2017 21:30
1510119600	0.677663	11.865022	0	11/7/2017 21:40
1510120200	0.677663	11.865022	0	11/7/2017 21:50
1510120800	0.677663	11.865022	0	11/7/2017 22:00
1510121400	0.666465	11.870697	0	11/7/2017 22:10
1510122000	0.677663	11.846211	0	11/7/2017 22:20
1510122600	0.666465	11.880118	0	11/7/2017 22:30
1510123200	0.666465	11.870697	0	11/7/2017 22:40
1510123800	0.655264	11.885802	0	11/7/2017 22:50
1510124400	0.666465	11.870697	0	11/7/2017 23:00
1510125000	0.666465	11.870697	0	11/7/2017 23:10
1510125600	0.655264	11.866959	0	11/7/2017 23:20
1510126200	0.666465	11.851877	0	11/7/2017 23:30
1510126800	0.666465	11.851877	0	11/7/2017 23:40
1510127400	0.666465	11.861283	0	11/7/2017 23:50
1510128000	0.666465	11.851877	0	11/8/2017 0:00
1510128600	0.666465	11.870697	0	11/8/2017 0:10
1510129200	0.666465	11.861283	0	11/8/2017 0:20
1510129800	0.666465	11.842478	0	11/8/2017 0:30
1510130400	0.666465	11.861283	0	11/8/2017 0:40
1510131000	0.666465	11.851877	0	11/8/2017 0:50
1510131600	0.655264	11.848146	0	11/8/2017 1:00
1510132200	0.666465	11.851877	0	11/8/2017 1:10
1510132800	0.666465	11.851877	0	11/8/2017 1:20
1510133400	0.666465	11.842478	0	11/8/2017 1:30
1510134000	0.666465	11.842478	0	11/8/2017 1:40
1510134600	0.666465	11.851877	0	11/8/2017 1:50
1510135200	0.666465	11.861283	0	11/8/2017 2:00
1510135800	0.666465	11.861283	0	11/8/2017 2:10
1510136400	0.666465	11.833089	0	11/8/2017 2:20
1510137000	0.666465	11.851877	0	11/8/2017 2:30
1510137600	0.677663	11.846211	0	11/8/2017 2:40
1510138200	0.666465	11.861283	0	11/8/2017 2:50
1510138800	0.666465	11.842478	0	11/8/2017 3:00
1510139400	0.677663	11.836817	0	11/8/2017 3:10
1510140000	0.666465	11.851877	0	11/8/2017 3:20
1510140600	0.666465	11.851877	0	11/8/2017 3:30
1510141200	0.666465	11.851877	0	11/8/2017 3:40
1510141800	0.666465	11.842478	0	11/8/2017 3:50
1510142400	0.666465	11.851877	0	11/8/2017 4:00
1510143000	0.666465	11.842478	0	11/8/2017 4:10
1510143600	0.655264	11.838751	0	11/8/2017 4:20
1510144200	0.655264	11.829365	0	11/8/2017 4:30
1510144800	0.655264	11.838751	0	11/8/2017 4:40
1510145400	0.655264	11.829365	0	11/8/2017 4:50
1510146000	0.655264	11.819986	0	11/8/2017 5:00
1510146600	0.655264	11.829365	0	11/8/2017 5:10
1510147200	0.644059	11.853817	0	11/8/2017 5:20
1510147800	0.644059	11.835027	0	11/8/2017 5:30
1510148400	0.644059	11.835027	0	11/8/2017 5:40
1510149000	0.632852	11.840694	0	11/8/2017 5:50
1510149600	0.632852	11.831307	0	11/8/2017 6:00
1510150200	0.632852	11.831307	0	11/8/2017 6:10
1510150800	0.632852	11.840694	0	11/8/2017 6:20
1510151400	0.632852	11.831307	0	11/8/2017 6:30
