time	temp	oxy	light
1510873500	19.499981	0.282441	0
1510873800	19.341194	0.280453	0
1510874100	19.240868	0.280685	0
1510874400	19.115417	0.280742	0
1510874700	18.989916	0.28033	0
1510875000	18.847617	0.279959	0
1510875300	18.69687	0.279843	0
1510875600	18.520894	0.279321	0
1510875900	18.344799	0.279501	0
1510876200	18.143393	0.279743	0
1510876500	17.175737	0.278562	5.0073
1510876800	16.245344	0.278047	0
1510877100	15.820572	0.279095	0
1510877400	15.633258	0.277484	0
1510877700	7.758736	0.248754	10.0146
1510878000	4.262011	0.251862	55.0803
1510878300	3.455204	0.253303	35.0511
1510878600	3.161724	0.253358	20.0292
1510878900	3.014195	0.25389	15.0219
1510879200	2.94023	0.253852	10.0146
1510879500	2.897904	0.253542	5.0073
1510879800	2.86613	0.25341	0
1510880100	2.844934	0.253457	0
1510880400	2.834332	0.253885	0
1510880700	2.813119	0.25373	0
1510881000	2.802509	0.253148	0
1510881300	2.791896	0.253373	0
1510881600	2.78128	0.253194	0
1510881900	2.78128	0.253396	0
1510882200	2.760039	0.253443	0
1510882500	2.760039	0.252436	0
1510882800	2.760039	0.253241	0
1510883100	2.760039	0.25304	0
1510883400	2.738788	0.253086	0
1510883700	2.738788	0.25349	0
1510884000	2.738788	0.25349	0
1510884300	2.738788	0.253894	0
1510884600	2.738788	0.253692	0
1510884900	2.728158	0.253312	0
1510885200	2.738788	0.25349	0
1510885500	2.728158	0.25311	0
1510885800	2.717525	0.253335	0
1510886100	2.717525	0.253133	0
1510886400	2.696251	0.252979	0
1510886700	2.68561	0.2528	0
1510887000	2.68561	0.253204	0
1510887300	2.68561	0.253204	0
1510887600	2.696251	0.252979	0
1510887900	2.696251	0.253584	0
1510888200	2.696251	0.253382	0
1510888500	2.696251	0.253786	0
1510888800	2.696251	0.253382	0
1510889100	2.696251	0.253584	0
1510889400	2.696251	0.253382	0
1510889700	2.706889	0.253358	0
1510890000	2.706889	0.253358	0
1510890300	2.706889	0.253358	0
1510890600	2.706889	0.253157	0
1510890900	2.706889	0.253157	0
1510891200	2.706889	0.252955	0
1510891500	2.706889	0.253157	0
1510891800	2.706889	0.253763	0
1510892100	2.706889	0.253763	0
1510892400	2.706889	0.253157	0
1510892700	2.706889	0.253358	0
1510893000	2.706889	0.25356	0
1510893300	2.706889	0.253358	0
1510893600	2.706889	0.253358	0
1510893900	2.696251	0.253584	0
1510894200	2.696251	0.25318	0
1510894500	2.696251	0.252979	0
1510894800	2.696251	0.253584	0
1510895100	2.696251	0.252979	0
1510895400	2.68561	0.253204	0
1510895700	2.68561	0.253607	0
1510896000	2.68561	0.253405	0
1510896300	2.68561	0.253405	0
1510896600	2.68561	0.253204	0
1510896900	2.68561	0.253405	0
1510897200	2.674966	0.253429	0
1510897500	2.674966	0.253429	0
1510897800	2.674966	0.253227	0
1510898100	2.674966	0.253227	0
1510898400	2.674966	0.253227	0
1510898700	2.674966	0.253227	0
1510899000	2.674966	0.253429	0
1510899300	2.664319	0.25325	0
1510899600	2.664319	0.253452	0
