time,temp,oxy,light
1510873800,19.341194,0.280453,0
1510874400,19.115417,0.280742,0
1510875000,18.847617,0.279959,0
1510875600,18.520894,0.279321,0
1510876200,18.143393,0.279743,0
1510876800,16.245344,0.278047,0
1510877400,15.633258,0.277484,0
1510878000,4.262011,0.251862,55.0803
1510878600,3.161724,0.253358,20.0292
1510879200,2.94023,0.253852,10.0146
1510879800,2.86613,0.25341,0
1510880400,2.834332,0.253885,0
1510881000,2.802509,0.253148,0
1510881600,2.78128,0.253194,0
1510882200,2.760039,0.253443,0
1510882800,2.760039,0.253241,0
1510883400,2.738788,0.253086,0
1510884000,2.738788,0.25349,0
1510884600,2.738788,0.253692,0
1510885200,2.738788,0.25349,0
1510885800,2.717525,0.253335,0
1510886400,2.696251,0.252979,0
1510887000,2.68561,0.253204,0
1510887600,2.696251,0.252979,0
1510888200,2.696251,0.253382,0
1510888800,2.696251,0.253382,0
1510889400,2.696251,0.253382,0
1510890000,2.706889,0.253358,0
1510890600,2.706889,0.253157,0
1510891200,2.706889,0.252955,0
1510891800,2.706889,0.253763,0
1510892400,2.706889,0.253157,0
1510893000,2.706889,0.25356,0
1510893600,2.706889,0.253358,0
1510894200,2.696251,0.25318,0
1510894800,2.696251,0.253584,0
1510895400,2.68561,0.253204,0
1510896000,2.68561,0.253405,0
1510896600,2.68561,0.253204,0
1510897200,2.674966,0.253429,0
1510897800,2.674966,0.253227,0
1510898400,2.674966,0.253227,0
1510899000,2.674966,0.253429,0
1510899600,2.664319,0.253452,0
1510900200,2.664319,0.25325,0
1510900800,2.65367,0.253274,0
1510901400,2.643018,0.253297,0
1510902000,2.632363,0.253321,0
1510902600,2.621705,0.252739,0
1510903200,2.621705,0.253546,0
1510903800,2.60038,0.253391,0
1510904400,2.60038,0.252987,0
1510905000,2.589714,0.253011,0
1510905600,2.579045,0.253438,0
1510906200,2.557698,0.253081,0
1510906800,2.557698,0.252879,0
1510907400,2.54702,0.253104,0
1510908000,2.53634,0.253128,0
