time,temp,oxy,light
1510873800,14.903809,8.374899,41.0168
1510874400,3.774862,10.536644,225.5924
1510875000,2.672323,10.99253,251.2279
1510875600,2.448188,11.105928,215.3382
1510876200,2.362474,11.119575,174.3214
1510876800,2.330283,11.143612,143.5588
1510877400,2.308809,11.153736,107.6691
1510878000,2.287323,11.154971,46.1439
1510878600,2.276575,11.142246,20.5084
1510879200,2.244316,11.157463,5.1271
1510879800,2.222795,11.158721,0
1510880400,2.201263,11.159986,0
1510881000,2.168942,11.166353,0
1510881600,2.147381,11.167638,0
1510882200,2.136596,11.16383,0
1510882800,2.115017,11.174037,0
1510883400,2.104223,11.188065,0
1510884000,2.104223,11.188065,0
1510884600,2.104223,11.188065,0
1510885200,2.104223,11.196993,0
1510885800,2.104223,11.188065,0
1510886400,2.082626,11.180455,0
1510887000,2.071823,11.203428,0
1510887600,2.071823,11.203428,0
1510888200,2.071823,11.185572,0
1510888800,2.071823,11.194497,0
1510889400,2.061018,11.208557,0
1510890000,2.061018,11.199621,0
1510890600,2.071823,11.194497,0
1510891200,2.071823,11.194497,0
1510891800,2.071823,11.203428,0
1510892400,2.082626,11.189375,0
1510893000,2.071823,11.194497,0
1510893600,2.071823,11.194497,0
1510894200,2.071823,11.194497,0
1510894800,2.071823,11.176655,0
1510895400,2.071823,11.194497,0
1510896000,2.050209,11.195818,0
1510896600,2.039398,11.192018,0
1510897200,2.039398,11.200947,0
1510897800,2.028583,11.206081,0
1510898400,2.028583,11.197148,0
1510899000,2.028583,11.223969,0
1510899600,2.017766,11.220162,0
1510900200,2.017766,11.202281,0
1510900800,2.017766,11.211218,0
1510901400,2.006946,11.207419,0
1510902000,1.985296,11.226654,0
1510902600,1.974467,11.231808,0
1510903200,1.963635,11.228009,0
1510903800,1.9528,11.233167,0
1510904400,1.941962,11.238329,0
1510905000,1.931121,11.22558,0
1510905600,1.920277,11.257638,0
1510906200,1.90943,11.244871,0
1510906800,1.89858,11.259018,0
1510907400,1.876871,11.269386,0
1510908000,1.866013,11.256614,0
1510908600,1.855151,11.270783,0
1510909200,1.844286,11.275978,0
1510909800,1.822548,11.277386,0
1510910400,1.811674,11.28259,0
1510911000,1.800797,11.287797,0
1510911600,1.800797,11.278804,0
1510912200,1.789917,11.284011,0
1510912800,1.779035,11.289223,0
1510913400,1.779035,11.280228,0
1510914000,1.75726,11.299658,0
1510914600,1.746369,11.313897,0
1510915200,1.735474,11.319129,0
1510915800,1.724576,11.306328,0
1510916400,1.713676,11.311561,0
1510917000,1.713676,11.311561,0
1510917600,1.691865,11.322039,0
1510918200,1.691865,11.3401,0
1510918800,1.680955,11.336314,0
1510919400,1.670043,11.341568,0
1510920000,1.670043,11.341568,0
1510920600,1.659127,11.328755,0
1510921200,1.648208,11.361138,0
1510921800,1.637286,11.357354,0
1510922400,1.637286,11.348306,0
1510923000,1.626361,11.380749,0
1510923600,1.615433,11.367898,0
1510924200,1.615433,11.358842,0
1510924800,1.604502,11.373177,0
1510925400,1.604502,11.373177,0
1510926000,1.604502,11.364117,0
1510926600,1.593568,11.369395,0
1510927200,1.582631,11.383747,0
1510927800,1.582631,11.392821,0
1510928400,1.571691,11.389037,0
1510929000,1.582631,11.374679,0
1510929600,1.582631,11.401905,0
1510930200,1.571691,11.407204,0
1510930800,1.571691,11.398117,5.1271
1510931400,1.560748,11.412508,15.3813
1510932000,1.549802,11.399632,30.7626
1510932600,1.538853,11.414029,56.3981
1510933200,1.538853,11.423128,87.1607
1510933800,1.538853,11.44135,107.6691
1510934400,1.527901,11.446674,117.9233
1510935000,1.538853,11.450473,133.3046
1510935600,1.527901,11.446674,128.1775
1510936200,1.527901,11.437556,138.4317
1510936800,1.527901,11.455801,158.9401
1510937400,1.527901,11.455801,235.8466
1510938000,1.538853,11.477888,415.2951
1510938600,1.549802,11.463409,512.71
1510939200,1.571691,11.461889,543.4726
1510939800,1.593568,11.46952,743.4295
1510940400,1.604502,11.464195,548.5997
1510941000,1.615433,11.458875,497.3287
1510941600,1.626361,11.462697,384.5325
1510942200,1.637286,11.457381,779.3192
1510942800,1.670043,11.459724,907.4967
1510943400,1.702772,11.452948,1025.42
1510944000,1.724576,11.469771,845.9715
1510944600,1.746369,11.450034,1261.2666
1510945200,1.779035,11.461579,1199.7414
1510945800,1.789917,11.447152,1153.5975
1510946400,1.833418,11.45344,1194.6143
1510947000,1.855151,11.424643,999.7845
1510947600,1.887727,11.408878,1020.2929
1510948200,1.931121,11.415212,1445.8422
1510948800,1.9528,11.422953,1779.1037
1510949400,1.985296,11.416349,1604.7823
1510950000,2.017766,11.409764,1148.4704
1510950600,2.017766,11.391561,810.0818
1510951200,1.985296,11.398136,810.0818
1510951800,1.996123,11.402008,856.2257
1510952400,2.006946,11.414994,917.7509
1510953000,2.017766,11.391561,897.2425
1510953600,2.028583,11.413648,1112.5807
1510954200,2.028583,11.404539,825.4631
1510954800,2.006946,11.396782,743.4295
1510955400,1.996123,11.402008,471.6932
1510956000,2.006946,11.405884,584.4894
1510956600,1.985296,11.407238,338.3886
1510957200,1.963635,11.399497,471.6932
1510957800,1.963635,11.399497,312.7531
1510958400,1.963635,11.399497,302.4989
1510959000,1.9528,11.413839,374.2783
1510959600,1.9528,11.413839,338.3886
1510960200,1.941962,11.41908,328.1344
1510960800,1.941962,11.428199,246.1008
1510961400,1.941962,11.41908,251.2279
1510962000,1.941962,11.400867,266.6092
1510962600,1.941962,11.40997,169.1943
1510963200,1.931121,11.424328,169.1943
1510963800,1.931121,11.415212,97.4149
1510964400,1.931121,11.415212,30.7626
1510965000,1.931121,11.415212,10.2542
1510965600,1.920277,11.411348,15.3813
1510966200,1.90943,11.425711,0
1510966800,1.90943,11.425711,0
1510967400,1.90943,11.425711,0
1510968000,1.90943,11.407487,0
1510968600,1.89858,11.412735,0
1510969200,1.887727,11.427101,0
1510969800,1.876871,11.432361,0
1510970400,1.876871,11.441488,0
1510971000,1.876871,11.432361,0
1510971600,1.876871,11.441488,0
1510972200,1.887727,11.436225,0
1510972800,1.887727,11.436225,0
1510973400,1.876871,11.450623,0
1510974000,1.866013,11.446756,0
1510974600,1.866013,11.446756,0
1510975200,1.855151,11.442892,0
1510975800,1.855151,11.452028,0
1510976400,1.855151,11.452028,0
1510977000,1.855151,11.452028,0
1510977600,1.866013,11.446756,0
1510978200,1.866013,11.455896,0
1510978800,1.876871,11.450623,0
1510979400,1.866013,11.474198,0
1510980000,1.866013,11.446756,0
1510980600,1.866013,11.474198,0
1510981200,1.866013,11.446756,0
1510981800,1.866013,11.474198,0
1510982400,1.866013,11.455896,0
1510983000,1.866013,11.465042,0
1510983600,1.866013,11.446756,0
1510984200,1.866013,11.474198,0
1510984800,1.855151,11.461171,0
1510985400,1.855151,11.479482,0
1510986000,1.855151,11.470323,0
1510986600,1.855151,11.479482,0
1510987200,1.855151,11.461171,0
1510987800,1.855151,11.470323,0
1510988400,1.855151,11.479482,0
1510989000,1.855151,11.479482,0
1510989600,1.855151,11.470323,0
1510990200,1.855151,11.461171,0
1510990800,1.855151,11.479482,0
1510991400,1.855151,11.470323,0
1510992000,1.855151,11.488648,0
1510992600,1.855151,11.479482,0
1510993200,1.855151,11.488648,0
1510993800,1.855151,11.497824,0
1510994400,1.855151,11.479482,0
1510995000,1.855151,11.479482,0
1510995600,1.855151,11.488648,0
1510996200,1.844286,11.475607,0
1510996800,1.844286,11.48477,0
1510997400,1.855151,11.479482,0
1510998000,1.855151,11.479482,0
1510998600,1.855151,11.488648,0
1510999200,1.855151,11.479482,0
1510999800,1.855151,11.479482,0
1511000400,1.855151,11.479482,0
