time	temp	oxy	light
1510095900	2.852859	11.040693	2096.9839
1510096200	2.852859	11.058359	1922.6625
1510096500	2.852859	11.040693	1917.5354
1510096800	2.863454	11.044591	2030.3316
1510097100	2.852859	11.049522	1953.4251
1510097400	2.852859	11.040693	1768.8495
1510097700	2.852859	11.031871	1604.7823
1510098000	2.842262	11.036798	1640.672
1510098300	2.842262	11.02798	1543.2571
1510098600	2.842262	11.01917	1168.9788
1510098900	2.831661	11.015286	789.5734
1510099200	2.831661	10.997695	625.5062
1510099500	2.821058	11.011407	604.9978
1510099800	2.821058	11.002611	569.1081
1510100100	2.810452	10.998739	405.0409
1510100400	2.821058	10.993823	323.0073
1510100700	2.810452	10.981177	235.8466
1510101000	2.789232	10.991005	169.1943
1510101300	2.789232	10.991005	107.6691
1510101600	2.778618	10.995924	61.5252
1510101900	2.778618	10.97837	35.8897
1510102200	2.768001	10.992063	20.5084
1510102500	2.768001	10.983286	10.2542
1510102800	2.757382	10.988206	0
1510103100	2.757382	10.988206	5.1271
1510103400	2.757382	10.970666	0
1510103700	2.746759	10.984352	0
1510104000	2.746759	10.99313	0
1510104300	2.736134	10.989276	0
1510104600	2.736134	11.006846	0
1510104900	2.725506	10.976656	0
1510105200	2.725506	11.002989	0
1510105500	2.714875	11.01672	0
1510105800	2.714875	10.999135	0
1510106100	2.704241	10.995285	0
1510106400	2.693605	11.00022	0
1510106700	2.682965	10.996373	0
1510107000	2.682965	10.987595	0
1510107300	2.672323	10.99253	0
1510107600	2.672323	11.001312	0
1510107900	2.672323	11.001312	0
1510108200	2.661678	11.006255	0
1510108500	2.661678	11.006255	0
1510108800	2.661678	10.99747	0
1510109100	2.661678	10.99747	0
1510109400	2.661678	10.988692	0
1510109700	2.651031	11.019999	0
1510110000	2.651031	11.002413	0
1510110300	2.651031	11.011202	0
1510110600	2.64038	11.016153	0
1510110900	2.64038	11.007359	0
1510111200	2.629727	10.994739	0
1510111500	2.619071	11.017265	0
1510111800	2.629727	10.994739	0
1510112100	2.619071	11.008471	0
1510112400	2.619071	10.999685	0
1510112700	2.619071	11.008471	0
1510113000	2.619071	11.017265	0
1510113300	2.619071	10.999685	0
1510113600	2.608412	11.013426	0
1510113900	2.619071	10.999685	0
1510114200	2.608412	11.013426	0
1510114500	2.608412	11.022223	0
1510114800	2.608412	11.013426	0
1510115100	2.608412	11.013426	0
1510115400	2.608412	11.013426	0
1510115700	2.608412	11.022223	0
1510116000	2.608412	10.995854	0
1510116300	2.59775	11.009591	0
1510116600	2.59775	11.009591	0
1510116900	2.59775	11.018384	0
1510117200	2.59775	11.000805	0
1510117500	2.587085	11.014549	0
1510117800	2.587085	11.023347	0
1510118100	2.587085	10.996976	0
1510118400	2.576418	11.028312	0
1510118700	2.576418	11.028312	0
1510119000	2.587085	11.014549	0
1510119300	2.576418	11.019511	0
1510119600	2.576418	11.019511	0
1510119900	2.576418	11.019511	0
1510120200	2.576418	11.010717	0
1510120500	2.565748	11.033282	0
1510120800	2.565748	11.024477	0
1510121100	2.565748	11.024477	0
1510121400	2.565748	11.015679	0
1510121700	2.565748	11.024477	0
1510122000	2.565748	11.006889	0
1510122300	2.565748	11.006889	0
