time	temp	oxy	light
1509911220	22.759912	7.753606	46.1439
1509911520	22.335529	7.837785	35.8897
1509911820	21.8527	7.877008	30.7626
1509912120	21.577876	7.932721	0
1509912420	21.41127	7.947783	5.1271
1509912720	21.261293	8.013575	123.0504
1509913020	20.777804	8.090677	30.7626
1509913320	20.168685	8.217191	35.8897
1509913620	19.525297	8.328338	30.7626
1509913920	18.889145	8.426712	30.7626
1509914220	18.251623	8.528889	97.4149
1509914520	17.730327	8.666364	117.9233
1509914820	17.427067	8.719613	92.2878
1509915120	17.207759	8.733604	92.2878
1509915420	17.013543	8.674153	71.7794
1509915720	16.861402	8.530921	76.9065
1509916020	16.7599	8.582674	56.3981
1509916320	16.666804	8.6614	71.7794
1509916620	16.607534	8.613785	30.7626
1509916920	16.556713	8.535284	20.5084
1509917220	16.522824	8.459766	15.3813
1509917520	16.488928	8.413193	5.1271
1509917820	16.471978	8.327081	0
1509918120	16.497403	8.284972	0
1509918420	16.573655	8.242232	5.1271
1509918720	16.582125	8.26739	5.1271
1509919020	16.378716	8.312516	10.2542
1509919320	16.225985	8.336273	5.1271
1509919620	16.107087	8.364229	5.1271
1509919920	15.945571	8.390977	0
1509920220	15.809416	8.417424	0
1509920520	15.69017	8.417918	0
1509920820	15.519636	8.462045	0
1509921120	15.297607	8.515132	0
1509921420	14.938104	8.568384	0
1509921720	14.500072	8.654529	0
1509922020	14.17255	8.714717	0
1509922320	13.913245	8.768579	0
1509922620	13.687964	8.797558	0
1509922920	13.453452	8.851916	0
1509923220	13.183459	8.97045	0
1509923520	13.026312	9.00804	0
1509923820	12.895138	9.022248	0
1509924120	12.4124	9.118682	384.5325
1509924420	6.221838	9.998516	1861.1373
1509924720	4.330684	0.732929	2066.2213
1509925020	3.826637	0.92595	2045.7129
1509925320	3.619152	1.021225	2045.7129
1509925620	3.515019	1.060535	1584.2739
1509925920	3.452414	1.098495	1168.9788
1509926220	3.421076	1.104182	917.7509
1509926520	3.400171	1.113922	840.8444
1509926820	3.389714	1.100985	804.9547
1509927120	3.379255	1.123677	594.7436
1509927420	3.368793	1.119642	369.1512
1509927720	3.358328	1.142376	256.355
1509928020	3.358328	1.115611	179.4485
1509928320	3.337391	1.125381	133.3046
1509928620	3.337391	1.125381	107.6691
1509928920	3.337391	1.125381	82.0336
1509929220	3.326918	1.139197	51.271
1509929520	3.326918	1.130272	35.8897
1509929820	3.326918	1.130272	20.5084
1509930120	3.316443	1.126245	5.1271
1509930420	3.316443	1.135166	0
1509930720	3.316443	1.126245	5.1271
1509931020	3.305965	1.140064	0
1509931320	3.305965	1.140064	0
1509931620	3.295485	1.136037	0
1509931920	3.285001	1.132013	0
1509932220	3.274515	1.145844	0
1509932520	3.264027	1.150753	0
1509932820	3.264027	1.150753	0
1509933120	3.253535	1.14673	0
1509933420	3.253535	1.14673	0
1509933720	3.253535	1.164611	0
1509934020	3.243041	1.178486	0
1509934320	3.243041	1.151643	0
1509934620	3.243041	1.160583	0
1509934920	3.253535	1.155666	0
1509935220	3.243041	1.160583	0
1509935520	3.243041	1.151643	0
1509935820	3.243041	1.151643	0
1509936120	3.243041	1.151643	0
1509936420	3.243041	1.160583	0
1509936720	3.243041	1.151643	0
1509937020	3.243041	1.160583	0
1509937320	3.243041	1.178486	0
1509937620	3.243041	1.160583	0
1509937920	3.243041	1.169531	0
1509938220	3.232545	1.174455	0
1509938520	3.232545	1.183414	0
1509938820	3.243041	1.169531	0
1509939120	3.232545	1.156559	0
1509939420	3.232545	1.147623	0
1509939720	3.232545	1.156559	0
1509940020	3.232545	1.183414	0
1509940320	3.232545	1.183414	0
