time	temp	oxy	light
1500513300	12.995177	8.4938	888.79575
1500513900	12.977696	8.46461	816.1899
1500514500	12.968954	8.495066	751.095
1500515100	12.951467	8.458965	696.0147
1500515700	12.925231	8.481005	640.9344
1500516300	12.916484	8.462975	585.8541
1500516900	12.907736	8.472627	538.28475
1500517500	12.890237	8.47118	565.8249
1500518100	12.863981	8.465559	678.48915
1500518700	12.855227	8.475217	603.37965
1500519300	12.828961	8.476523	430.6278
1500519900	12.811445	8.454358	358.02195
1500520500	12.785165	8.469492	285.4161
1500521100	12.758876	8.463908	222.82485
1500521700	12.732579	8.485997	167.74455
1500522300	12.706274	8.466585	110.1606
1500522900	12.671187	8.47069	60.0876
1500523500	12.644862	8.465142	25.0365
1500524100	12.618528	8.480334	5.0073
1500524700	12.583403	8.498332	0
1500525300	12.539476	8.498339	0
1500525900	12.495524	8.5053	0
1500526500	12.460346	8.52339	0
1500527100	12.425151	8.548501	0
1500527700	12.389941	8.545772	0
1500528300	12.363523	8.561172	0
1500528900	12.328286	8.565443	0
1500529500	12.310661	8.55014	0
1500530100	12.284216	8.572552	0
1500530700	12.257763	8.609061	0
1500531300	12.2313	8.575523	0
1500531900	12.196002	8.607873	0
1500532500	12.160688	8.619252	0
1500533100	12.125358	8.651794	0
1500533700	12.090011	8.656195	0
1500534300	12.045805	8.656424	0
1500534900	12.010421	8.674987	0
1500535500	11.97502	8.68652	0
1500536100	11.930746	8.679728	0
1500536700	11.895308	8.684217	0
1500537300	11.850986	8.719995	0
1500537900	11.815509	8.724533	0
1500538500	11.771139	8.739122	0
1500539100	11.726742	8.739506	0
1500539700	11.682318	8.754162	0
1500540300	11.646759	8.758782	0
1500540900	11.602285	8.78781	0
1500541500	11.566687	8.771024	0
1500542100	11.522163	8.778657	0
1500542700	11.477612	8.800634	0
1500543300	11.433032	8.829874	0
1500543900	11.397348	8.827439	0
1500544500	11.352717	8.842395	0
1500545100	11.316992	8.861603	0
1500545700	11.27231	8.855008	0
1500546300	11.236543	8.867054	0
1500546900	11.191808	8.882152	0
1500547500	11.164954	8.891234	0
1500548100	11.129131	8.90337	0
1500548700	11.093289	8.908285	0
1500549300	11.04846	8.930784	0
1500549900	11.012575	8.935746	0
1500550500	10.985649	8.930396	0
1500551100	10.958712	8.94686	0
1500551700	10.922779	8.959151	0
1500552300	10.886826	8.971472	0
1500552900	10.850855	8.976522	7.51095
1500553500	10.814863	9.003526	30.0438
1500554100	10.778852	8.993985	70.1022
1500554700	10.75183	9.010623	130.1898
1500555300	10.715784	9.023082	197.78835
1500555900	10.697753	9.044016	265.3869
1500556500	10.661677	9.049182	358.02195
1500557100	10.643632	9.070188	573.33585
1500557700	10.625581	9.069099	650.949
1500558300	10.607525	9.097553	648.44535
1500558900	10.589465	9.089074	796.1607
1500559500	10.580432	9.099624	978.92715
1500560100	10.580432	9.107026	978.92715
1500560700	10.580432	9.099624	903.81765
1500561300	10.589465	9.103866	943.87605
1500561900	10.607525	9.104954	1121.6352
1500562500	10.634607	9.102892	1444.60605
1500563100	10.679718	9.101945	1612.3506
1500563700	10.73381	9.097882	1509.70095
1500564300	10.760838	9.095864	1374.50385
1500564900	10.79686	9.083327	1389.52575
1500565500	10.841858	9.082473	1452.117
1500566100	10.895816	9.056379	1597.3287
1500566700	10.94973	9.08201	1770.08055
1500567300	10.994625	9.066462	1912.7886
1500567900	11.04846	9.047868	2000.41635
1500568500	11.111212	9.040983	2293.3434
1500569100	11.182858	9.045811	2839.37975
1500569700	11.26337	9.047638	3605
1500570300	11.343788	9.020069	4805
1500570900	11.433032	8.989616	5750
1500571500	11.513255	9.021076	6500
1500572100	11.54888	9.001585	7505.84
1500572700	11.54888	9.023662	8407.2567
1500573300	11.557784	8.991214	8414.76765
1500573900	11.575588	9.014563	8549.96475
1500574500	11.593387	9.015867	9614.016
1500575100	11.620078	8.999436	10044.6438
1500575700	11.637866	9.022832	10467.2416
1500576300	11.65565	9.009418	10760.16865
1500576900	11.67343	9.010739	11494.25715
1500577500	11.708976	8.998675	13682.44725
1500578100	11.753383	9.013056	15893.1702
1500578700	11.797764	9.012743	16944.81145
1500579300	11.82438	8.981668	17500
1500579900	11.83325	8.971337	18500
1500580500	11.83325	8.964007	19500
1500581100	11.850986	8.958032	20500
1500581700	11.886445	8.982752	21000
1500582300	11.939603	9.001587	21250
1500582900	12.001572	8.995405	21272.84095
1500583500	12.06349	8.974568	21250.9812
1500584100	12.125358	8.953817	21381.171
1500584700	12.187175	8.947794	20653.03075
1500585300	12.213653	8.93895	19669.0963
1500585900	12.266581	8.943258	18431.8713
1500586500	12.310661	8.90666	15512.6154
1500587100	12.319474	8.889164	13249.8404
1500587700	12.301847	8.858676	12500
1500588300	12.275399	8.823996	11500
1500588900	12.266581	8.812475	10500
1500589500	12.248943	8.818278	9997.2854
1500590100	12.240122	8.821182	9383.6802
1500590700	12.248943	8.80387	7283.11785
1500591300	12.248943	8.81107	5002.2927
1500591900	12.266581	8.798075	4501.5627
1500592500	12.266581	8.790886	3788.02245
1500593100	12.248943	8.767963	2576.25585
1500593700	12.240122	8.778022	2248.2777
1500594300	12.222477	8.776633	2052.993
1500594900	12.213653	8.750883	1912.7886
1500595500	12.187175	8.745249	1837.6791
1500596100	12.160688	8.74677	2163.83225
1500596700	12.160688	8.77539	2569.42355
1500597300	12.143025	8.766858	2478.6135
1500597900	12.125358	8.736914	2375.96385
1500598500	12.116523	8.732673	2255.78865
1500599100	12.107687	8.749835	1810.13895
1500599700	12.081172	8.737107	1351.971
1500600300	12.06349	8.728639	1214.27025
1500600900	12.03696	8.723079	1231.7958
1500601500	12.028115	8.718857	1281.8688
1500602100	12.001572	8.720426	1191.7374
1500602700	11.983872	8.704898	1003.96365
1500603300	11.966168	8.73202	923.84685
1500603900	11.948459	8.716479	716.0439
1500604500	11.930746	8.729394	530.7738
1500605100	11.895308	8.726785	460.6716
1500605700	11.868718	8.707082	405.5913
1500606300	11.83325	8.718708	350.511
1500606900	11.806637	8.720339	277.90515
1500607500	11.771139	8.71779	190.2774
1500608100	11.744504	8.705249	155.2263
1500608700	11.708976	8.709825	115.1679
1500609300	11.67343	8.749969	57.58395
1500609900	11.637866	8.726125	27.54015
1500610500	11.602285	8.752101	5.0073
1500611100	11.557784	8.73123	0
1500611700	11.513255	8.738839	0
1500612300	11.477612	8.743524	0
1500612900	11.433032	8.751182	0
1500613500	11.379499	8.754712	0
1500614100	11.343788	8.795152	0
1500614700	11.299123	8.788611	0
1500615300	11.26337	8.786259	0
1500615900	11.218653	8.801213	0
1500616500	11.173906	8.816212	0
1500617100	11.120172	8.855846	0
1500617700	11.075361	8.849375	0
1500618300	11.03052	8.857321	0
1500618900	10.985649	8.858098	0
1500619500	10.940748	8.894962	0
1500620100	10.895816	8.895785	0
1500620700	10.850855	8.925592	0
1500621300	10.805862	8.926462	0
1500621900	10.760838	8.927357	0
1500622500	10.715784	8.950059	0
1500623100	10.670698	8.951004	0
1500623700	10.616554	8.984213	0
1500624300	10.571399	8.970634	0
1500624900	10.526212	8.978946	0
1500625500	10.471945	9.012339	0
1500626100	10.426687	9.035397	0
1500626700	10.381397	9.036502	0
1500627300	10.345141	9.056495	0
1500627900	10.299792	9.057646	0
1500628500	10.24533	9.06936	0
1500629100	10.199908	9.107441	0
1500629700	10.154452	9.108675	0
1500630300	10.099862	9.135354	0
1500630900	10.063441	9.155677	0
