time	temp	oxy	light
1501291140	12.539476	8.88926	518.25555
1501291740	12.521898	8.895063	456.66576
1501292340	12.504317	8.900872	405.5913
1501292940	12.495524	8.91839	364.53144
1501293540	12.486731	8.892098	333.48618
1501294140	12.469142	8.897912	312.45552
1501294740	12.460346	8.930054	283.41318
1501295340	12.451548	8.91834	257.87595
1501295940	12.44275	8.899349	232.83945
1501296540	12.425151	8.912476	212.30952
1501297140	12.407548	8.911008	192.28032
1501297740	12.398745	8.928549	163.23798
1501298340	12.381136	8.91977	137.70075
1501298940	12.363523	8.91831	103.65111
1501299540	12.337097	8.927093	59.58687
1501300140	12.319474	8.91103	28.04088
1501300740	12.293032	8.934442	7.01022
1501301340	12.275399	8.925685	0.50073
1501301940	12.248943	8.934498	0
1501302540	12.213653	8.946273	0
1501303140	12.196002	8.944844	0
1501303740	12.169518	8.94637	0
1501304340	12.151857	8.944951	0
1501304940	12.125358	8.96115	0
1501305540	12.107687	8.959737	0
1501306140	12.090011	8.958328	0
1501306740	12.06349	8.959889	0
1501307340	12.03696	8.976138	0
1501307940	12.019268	8.982088	0
1501308540	11.992723	8.983673	0
1501309140	11.966168	8.992622	0
1501309740	11.939603	8.98687	0
1501310340	11.904169	8.998829	0
1501310940	11.868718	9.010817	0
1501311540	11.842118	9.012453	0
1501312140	11.806637	9.009735	0
1501312740	11.771139	9.036542	0
1501313340	11.744504	9.038211	0
1501313940	11.708976	9.020765	0
1501314540	11.682318	9.052002	0
1501315140	11.65565	9.046305	0
1501315740	11.628973	9.048013	0
1501316340	11.611182	9.068901	0
1501316940	11.575588	9.051458	0
1501317540	11.539976	9.063641	0
1501318140	11.522163	9.077158	0
1501318740	11.504346	9.075855	0
1501319340	11.486524	9.081972	0
1501319940	11.459783	9.076324	0
1501320540	11.433032	9.078099	0
1501321140	11.415192	9.084233	0
1501321740	11.388424	9.071199	0
1501322340	11.361646	9.043429	0
1501322940	11.343788	9.042173	0
1501323540	11.316992	9.021881	0
1501324140	11.281249	9.100709	0
1501324740	11.254429	9.124864	0
