time	temp	oxy	light
1500513420	12.341944	8.299179	1607.85856
1500514020	12.333133	8.295167	1498.65133
1500514620	12.333133	8.295167	1405.33811
1500515220	12.315507	8.293918	1318.17741
1500515820	12.306692	8.289912	1223.83877
1500516420	12.297877	8.299443	1112.06799
1500517020	12.280243	8.2982	1058.74615
1500517620	12.271425	8.287432	1007.98786
1500518220	12.253785	8.279442	1090.02146
1500518820	12.236142	8.291729	928.51781
1500519420	12.218494	8.304036	708.05251
1500520020	12.200842	8.302808	557.82848
1500520620	12.174357	8.311135	456.82461
1500521220	12.156695	8.296372	362.48597
1500521820	12.13903	8.301925	261.4821
1500522420	12.12136	8.314262	158.9401
1500523020	12.103686	8.306275	81.52089
1500523620	12.077167	8.321411	32.81344
1500524220	12.059483	8.313427	6.15252
1500524820	12.032949	8.321801	0
1500525420	12.015255	8.320606	0
1500526020	11.988705	8.328997	0
1500526620	11.962147	8.3442	0
1500527220	11.935579	8.345823	0
1500527820	11.909001	8.354258	0
1500528420	11.87355	8.358715	0
1500529020	11.84695	8.374	0
1500529620	11.820341	8.368836	0
1500530220	11.793723	8.390986	0
1500530820	11.767094	8.392662	0
1500531420	11.731575	8.397187	0
1500532020	11.704924	8.412576	0
1500532620	11.678264	8.434868	0
1500533220	11.651593	8.429711	0
1500533820	11.624913	8.424568	0
1500534420	11.589324	8.436028	0
1500535020	11.562621	8.451521	0
1500535620	11.535908	8.460157	0
1500536220	11.500275	8.4648	0
1500536820	11.473539	8.473464	0
1500537420	11.446792	8.495971	0
1500538020	11.420036	8.497758	0
1500538620	11.393269	8.499554	0
1500539220	11.357564	8.518127	0
1500539820	11.330774	8.526883	0
1500540420	11.303973	8.528709	0
1500541020	11.268222	8.519591	0
1500541620	11.241397	8.549222	0
1500542220	11.214562	8.55804	0
1500542820	11.187716	8.566874	0
1500543420	11.16086	8.575724	0
1500544020	11.133993	8.577607	0
1500544620	11.098155	8.603436	0
1500545220	11.071263	8.591347	0
1500545820	11.044361	8.600254	0
1500546420	11.017448	8.623199	0
1500547020	10.990525	8.618116	0
1500547620	10.963591	8.620055	0
1500548220	10.936646	8.643072	0
1500548820	10.90969	8.630979	0
1500549420	10.882723	8.647	0
1500550020	10.855745	8.670108	0
1500550620	10.828757	8.672096	0
1500551220	10.801757	8.674093	0
1500551820	10.774746	8.683158	0
1500552420	10.756733	8.69628	3.58897
1500553020	10.729704	8.698302	19.48298
1500553620	10.702663	8.707411	57.93623
1500554220	10.675612	8.716537	139.96983
1500554820	10.648549	8.739883	240.9737
1500555420	10.621475	8.73484	357.87158
1500556020	10.603419	8.740956	513.22271
1500556620	10.576326	8.764385	714.71774
1500557220	10.558258	8.77053	894.16624
1500557820	10.540185	8.776682	982.86507
1500558420	10.531146	8.772626	1096.68669
1500559020	10.522106	8.789987	1360.73234
1500559620	10.513065	8.800225	1649.90078
1500560220	10.504023	8.810477	1661.1804
1500560820	10.513065	8.807386	1705.78617
1500561420	10.522106	8.818629	2089.80596
1500562020	10.531146	8.815536	2262.07652
1500562620	10.549222	8.816526	2770.17213
1500563220	10.585358	8.832881	3188.54349
1500563820	10.612448	8.830796	5408.06508
1500564420	10.639526	8.83591	6221.22314
