time	temp	oxy	light
1500685920	10.774746	9.029507	2597.38886
1500686520	10.747724	9.002122	1746.29026
1500687120	10.729704	9.001045	2975.76884
1500687720	10.738715	9.034706	4220.62872
1500688320	10.738715	9.042084	3544.87694
1500688920	10.720691	9.011532	2298.99164
1500689520	10.702663	9.01046	1929.84044
1500690120	10.693647	8.998906	1942.14548
1500690720	10.68463	9.009392	2408.71158
1500691320	10.675612	9.027255	2191.32254
1500691920	10.675612	8.997842	1952.39968
1500692520	10.657571	9.011474	1622.21444
1500693120	10.639526	8.99573	891.08998
1500693720	10.612448	8.997824	526.04046
1500694320	10.585358	8.985266	371.20204
1500694920	10.558258	8.987378	253.27874
1500695520	10.531146	8.989499	142.53338
1500696120	10.504023	8.99896	65.62688
1500696720	10.476888	8.986444	17.43214
1500697320	10.431637	8.994914	4.10168
1500697920	10.404471	9.026445	0
1500698520	10.368232	9.017099	0
1500699120	10.331972	9.029821	0
1500699720	10.295692	9.020508	0
1500700320	10.25939	9.040621	0
1500700920	10.232149	9.03549	0
1500701520	10.186723	9.051496	0
1500702120	10.159451	9.05375	0
1500702720	10.123069	9.059229	0
1500703320	10.086666	9.072106	0
1500703920	10.050242	9.085016	0
1500704520	10.022909	9.094719	0
1500705120	9.986447	9.092876	0
1500705720	9.949962	9.09845	0
1500706320	9.922585	9.12303	0
1500706920	9.886062	9.106399	0
1500707520	9.849517	9.134284	0
1500708120	9.822093	9.136666	0
1500708720	9.78551	9.134905	0
1500709320	9.758057	9.144742	0
1500709920	9.721434	9.165336	0
1500710520	9.684788	9.178525	0
1500711120	9.657289	9.166057	0
1500711720	9.629777	9.175967	0
1500712320	9.593074	9.181743	0
1500712920	9.565532	9.191689	0
1500713520	9.528789	9.20498	0
1500714120	9.501217	9.214971	0
1500714720	9.464433	9.228322	0
1500715320	9.43683	9.223358	0
1500715920	9.409214	9.225899	0
1500716520	9.381585	9.235951	0
1500717120	9.344725	9.23437	0
1500717720	9.317065	9.251961	0
1500718320	9.280164	9.272971	0
1500718920	9.252472	9.275577	0
1500719520	9.234004	9.267281	0
1500720120	9.20629	9.284968	0
1500720720	9.178563	9.287603	0
1500721320	9.141572	9.301194	0
1500721920	9.113812	9.296307	0
1500722520	9.076779	9.30994	0
1500723120	9.058253	9.316769	0
1500723720	9.039721	9.316044	0
1500724320	9.011912	9.333882	0
1500724920	8.984088	9.336597	0
1500725520	8.965532	9.32075	4.10168
1500726120	8.946969	9.335182	27.68634
1500726720	8.919113	9.345499	70.75398
1500727320	8.900535	9.352388	146.63506
1500727920	8.872655	9.362739	236.87202
1500728520	8.854061	9.377255	317.8802
1500729120	8.835461	9.391797	392.73586
1500729720	8.816855	9.383502	456.3119
1500730320	8.807549	9.409843	505.53206
1500730920	8.788933	9.401538	546.54886
1500731520	8.770311	9.408495	585.51482
1500732120	8.751682	9.430751	618.32826
1500732720	8.742366	9.441901	660.37048
1500733320	8.733047	9.445398	712.6669
1500733920	8.723728	9.448899	795.72592
1500734520	8.723728	9.448899	915.70006
1500735120	8.733047	9.453065	1078.74184
1500735720	8.751682	9.461409	1206.91934
1500736320	8.770311	9.45441	1284.85126
1500736920	8.798242	9.46695	1322.7918
1500737520	8.835461	9.452972	1361.75776
1500738120	8.863359	9.46554	1433.53716
1500738720	8.909825	9.455788	1431.48632
1500739320	8.946969	9.457227	1462.24892
1500739920	8.974811	9.454477	1497.1132
1500740520	9.021183	9.429467	1550.43504
1500741120	9.058253	9.430955	1615.0365
1500741720	9.113812	9.410251	1681.6888
1500742320	9.169317	9.404902	1707.3243
1500742920	9.261704	9.40118	1748.3411
1500743520	9.381585	9.394985	1904.20494
1500744120	9.556348	9.406883	2151.33116
1500744720	9.78551	9.383683	1978.03518
1500745320	10.068457	9.348887	2074.42466
1500745920	10.350105	9.315201	2151.33116
1500746520	10.576326	9.264102	2173.8904
1500747120	10.729704	9.247079	2244.64438
1500747720	10.801757	9.206318	2416.91494
1500748320	10.828757	9.159191	2904.16184
1500748920	10.882723	9.110299	4600
1500749520	10.981548	9.083116	25600
1500750120	11.044361	9.053786	100200
1500750720	11.133993	9.030041	101100
1500751320	11.2861	9.029098	101510
1500751920	11.455709	9.029692	101551
1500752520	11.607121	8.999787	101644
1500753120	11.740456	8.961568	102100
1500753720	11.909001	8.970405	102600
1500754320	12.12136	8.994165	102800
1500754920	12.253785	8.956691	101800
1500755520	12.200842	8.893798	101392.4844
1500756120	12.130195	8.873718	102366.6532
1500756720	12.227318	8.914175	99627.75636
1500757320	12.289061	8.908082	98763.57872
1500757920	12.280243	8.8672	100800
1500758520	12.13903	8.863475	97437.2671
1500759120	12.086008	8.859415	73307.2758
1500759720	12.041795	8.852428	16351.34732
1500760320	12.024103	8.82934	9667.65976
1500760920	11.979854	8.786337	6210.96894
1500761520	11.953292	8.766412	6562.688
1500762120	11.944436	8.790937	3926.33318
1500762720	11.962147	8.792237	3119.32764
1500763320	11.979854	8.750417	2428.19456
1500763920	11.979854	8.743251	2805.54912
1500764520	11.997556	8.751713	3315.18286
1500765120	11.971001	8.739027	2975.76884
1500765720	11.962147	8.727655	2404.6099
