time	temp	oxy	light
1500685800	9.670521	9.410404	223.02885
1500686400	9.633838	9.400944	229.0104667
1500687000	9.587952	9.410142	295.6627667
1500687600	9.560403	9.420263	405.0409
1500688200	9.532841	9.445723	410.168
1500688800	9.51446	9.437175	302.4989
1500689400	9.486876	9.43203	205.084
1500690000	9.450077	9.422647	215.3382
1500690600	9.422463	9.440482	261.4821
1500691200	9.404046	9.439626	300.7898667
1500691800	9.385623	9.454098	295.6627667
1500692400	9.357977	9.456661	222.1743333
1500693000	9.330319	9.436254	143.5588
1500693600	9.302646	9.431187	64.94326667
1500694200	9.265729	9.452504	39.30776667
1500694800	9.238026	9.455112	25.6355
1500695400	9.201067	9.453499	15.3813
1500696000	9.173331	9.471468	6.836133333
1500696600	9.13633	9.477558	0
1500697200	9.108563	9.480221	0
1500697800	9.071519	9.478667	0
1500698400	9.03445	9.500189	0
1500699000	9.006632	9.495201	0
1500699600	8.9788	9.50561	0
1500700200	8.950955	9.508337	0
1500700800	8.923095	9.52649	0
1500701400	8.895222	9.536962	0
1500702000	8.867334	9.539727	0
1500702600	8.839432	9.542503	0
1500703200	8.811516	9.537569	0
1500703800	8.783586	9.548092	0
1500704400	8.755641	9.57412	0
1500705000	8.737003	9.557938	0
1500705600	8.709035	9.568508	0
1500706200	8.690381	9.567822	0
1500706800	8.662389	9.586173	0
1500707400	8.643719	9.60102	0
1500708000	8.625043	9.600347	0
1500708600	8.597017	9.587705	0
1500709200	8.578325	9.602569	0
1500709800	8.559626	9.617459	0
1500710400	8.54092	9.616807	0
1500711000	8.51285	9.6353	0
1500711600	8.484765	9.622658	0
1500712200	8.4754	9.634019	0
1500712800	8.447296	9.644764	0
1500713400	8.419177	9.632139	0
1500714000	8.4098	9.643517	0
1500714600	8.391042	9.650702	0
1500715200	8.372278	9.642292	0
1500715800	8.353507	9.641687	0
1500716400	8.334729	9.664495	0
1500717000	8.315944	9.648288	0
1500717600	8.30655	9.659696	0
1500718200	8.287755	9.666917	0
1500718800	8.268954	9.674146	0
1500719400	8.259551	9.662136	0
1500720000	8.24074	9.685009	0
1500720600	8.221922	9.692265	0
1500721200	8.21251	9.664609	0
1500721800	8.193682	9.703165	0
1500722400	8.184265	9.698963	0
1500723000	8.165427	9.698401	0
1500723600	8.156005	9.694207	0
1500724200	8.146582	9.697847	0
1500724800	8.12773	9.712977	0
1500725400	8.118301	9.716627	0
