time	temp	oxy	light
1500859020	12.359564	8.83348	2944.49353
1500859620	12.37718	8.856696	2618.40997
1500860220	12.209668	8.810878	2396.91925
1500860820	12.12136	8.811351	2331.29237
1500861420	12.05064	8.813243	2013.41217
1500862020	11.979854	8.807969	1747.31568
1500862620	11.926721	8.8185	1555.56214
1500863220	11.864684	8.82481	1317.6647
1500863820	11.820341	8.839686	1118.73322
1500864420	11.767094	8.828622	987.47946
1500865020	11.722692	8.83631	889.03914
1500865620	11.669375	8.83978	782.39546
1500866220	11.624913	8.847524	666.01029
1500866820	11.571523	8.843817	530.14214
1500867420	11.527001	8.86611	382.99437
1500868020	11.482452	8.844956	237.89744
1500868620	11.437874	8.852797	123.0504
1500869220	11.393269	8.875169	45.63119
1500869820	11.348635	8.868564	11.27962
1500870420	11.303973	8.88375	1.53813
1500871020	11.259282	8.891709	0
1500871620	11.214562	8.906974	0
1500872220	11.169813	8.907715	0
1500872820	11.125035	8.930342	0
1500873420	11.080228	8.923837	0
1500874020	11.026421	8.949632	0
1500874620	10.981548	8.950471	0
1500875220	10.936646	8.951335	0
1500875820	10.891713	8.981507	0
1500876420	10.84675	8.967765	0
1500877020	10.792755	8.979145	0
1500877620	10.747724	9.002122	0
1500878220	10.702663	9.00311	0
1500878820	10.657571	9.004126	0
1500879420	10.612448	9.019866	0
1500880020	10.567293	9.02829	0
1500880620	10.522106	9.044117	0
1500881220	10.46784	9.063173	0
1500881820	10.422583	9.064316	0
1500882420	10.377294	9.072876	0
1500883020	10.331972	9.07407	0
1500883620	10.286618	9.090091	0
1500884220	10.241231	9.098746	0
1500884820	10.186723	9.125515	0
1500885420	10.141262	9.126815	0
1500886020	10.095769	9.13558	0
1500886620	10.050242	9.151826	0
1500887220	10.004681	9.160661	0
1500887820	9.959085	9.162066	0
1500888420	9.913456	9.170959	0
1500889020	9.867792	9.18736	0
1500889620	9.822093	9.188845	0
1500890220	9.78551	9.19454	0
1500890820	9.739748	9.203558	0
1500891420	9.693951	9.220107	0
1500892020	9.648119	9.244225	0
1500892620	9.602252	9.253362	0
1500893220	9.565532	9.251663	0
1500893820	9.5196	9.260854	0
1500894420	9.482828	9.259194	0
1500895020	9.43683	9.291068	0
1500895620	9.390796	9.300367	0
1500896220	9.353942	9.313884	0
1500896820	9.317065	9.312288	0
1500897420	9.270935	9.314103	0
1500898020	9.234004	9.327692	3.58897
1500898620	9.187807	9.344728	26.66092
1500899220	9.150822	9.350797	82.54631
1500899820	9.113812	9.36449	188.67728
1500900420	9.076779	9.370606	329.67253
1500901020	9.030453	9.39543	474.76946
1500901620	9.002639	9.398149	614.73929
1500902220	8.974811	9.423808	738.81511
1500902820	8.937685	9.437683	845.9715
1500903420	8.900535	9.443921	937.74659
1500904020	8.872655	9.46205	1071.5639
1500904620	8.844762	9.457158	1307.92321
1500905220	8.826159	9.47183	1479.16835
1500905820	8.798242	9.513184	1628.87967
1500906420	8.770311	9.485155	1748.3411
1500907020	8.751682	9.499886	1843.70516
1500907620	8.742366	9.503404	1928.81502
1500908220	8.733047	9.522373	2021.61553
1500908820	8.723728	9.518169	2129.79734
1500909420	8.733047	9.522373	2213.88178
1500910020	8.742366	9.53432	2289.25015
1500910620	8.760997	9.511804	2344.62283
1500911220	8.779623	9.527955	2401.53364
1500911820	8.807549	9.517396	2524.07133
1500912420	8.844762	9.518803	2661.99032
1500913020	8.88195	9.520229	2666.092
1500913620	8.937685	9.506942	2697.36731
1500914220	9.002639	9.482513	2764.01961
1500914820	9.067517	9.481291	2837.84985
1500915420	9.13232	9.480127	2936.29017
1500916020	9.187807	9.467066	3004.4806
1500916620	9.234004	9.465204	3034.21778
1500917220	9.289391	9.459927	5149.14653
1500917820	9.363158	9.440142	6245.174021
1500918420	9.446033	9.424721	7759.572873
1500919020	9.528789	9.401749	8478.392293
1500919620	9.620603	9.390822	8559.327229
1500920220	9.721434	9.399602	7386.759459
1500920820	9.822093	9.362615	6766.380359
1500921420	9.949962	9.353983	6475.673789
1500922020	10.077562	9.315107	6266.414864
1500922620	10.204897	9.284149	4880.120269
1500923220	10.331972	9.230838	4448.345204
1500923820	10.458791	9.223087	5928.831951
1500924420	10.585358	9.192975	7785.50135
1500925020	10.729704	9.201797	8188.271677
1500925620	10.873732	9.180804	8654.03209
1500926220	10.990525	9.147095	9753.135841
1500926820	11.107116	9.121119	10136.42319
1500927420	11.196666	9.112191	9982.024234
1500928020	11.312907	9.094027	8537.720164
1500928620	11.402192	9.070453	6704.415693
1500929220	11.482452	9.057526	6062.356284
1500929820	11.571523	9.041619	5411.068096
1500930420	11.651593	9.043711	4264.502047
1500931020	11.767094	9.063406	4257.397351
1500931620	11.935579	9.035297	4450.176311
1500932220	12.103686	9.044707	4429.374934
1500932820	12.253785	9.038153	4405.71703
1500933420	12.421203	9.063178	4518.366741
1500934020	12.544339	9.043736	4535.43266
1500934620	12.597054	9.063209	4493.170707
1500935220	12.614618	9.012508	4047.33274
1500935820	12.614618	9.027394	3770.689073
1500936420	12.597054	9.011003	3739.487007
1500937020	12.544339	9.013945	3696.12639
1500937620	12.500383	9.006515	3480.27548
1500938220	12.491589	9.002064	3363.524089
1500938820	12.447605	9.016945	3314.596906
1500939420	12.394792	9.012551	3265.816211
1500940020	12.341944	9.015618	3355.906683
1500940620	12.280243	8.999458	3874.988936
1500941220	12.183186	8.995363	4166.940659
1500941820	12.059483	8.985626	4461.822153
1500942420	11.971001	8.993568	4720.594214
1500943020	11.917861	9.026517	4801.236173
1500943620	12.12136	9.03867	4770.034107
1500944220	11.802597	8.999311	4567.440413
1500944820	11.704924	8.973689	3882.166876
1500945420	11.616018	8.974634	3430.908831
1500946020	11.696038	9.02102	2972.399603
1500946620	11.500275	8.940789	2494.260906
1500947220	11.411114	8.934654	2279.50866
1500947820	11.348635	8.926775	2019.56469
1500948420	11.295037	8.952437	1779.1037
1500949020	11.25034	8.945808	1581.19764
1500949620	11.214562	8.936143	1354.06711
1500950220	11.178765	8.948427	1163.33899
1500950820	11.14295	8.946104	1037.21233
1500951420	11.116076	8.948028	929.54323
1500952020	11.080228	8.945734	818.28516
1500952620	11.035391	8.961173	687.54411
1500953220	10.999501	8.951595	541.93447
1500953820	10.97257	8.960881	382.48166
1500954420	10.936646	8.958648	229.18137
1500955020	10.900702	8.963746	109.20723
1500955620	10.873732	8.958435	37.42783
1500956220	10.837754	8.96356	6.15252
1500956820	10.801757	8.976024	0
1500957420	10.76574	8.98852	0
1500958020	10.729704	8.993704	0
1500958620	10.702663	8.995768	0
1500959220	10.675612	9.005186	0
1500959820	10.630501	9.02092	0
1500960420	10.594389	9.026177	0
1500961020	10.567293	9.02829	0
1500961620	10.540185	9.037781	0
1500962220	10.494979	9.061023	0
1500962820	10.46784	9.048405	0
1500963420	10.44069	9.057946	0
1500964020	10.404471	9.070693	0
1500964620	10.377294	9.065484	0
1500965220	10.350105	9.082468	0
1500965820	10.322904	9.069877	0
1500966420	10.286618	9.090091	0
1500967020	10.25939	9.092316	0
1500967620	10.223067	9.105184	0
1500968220	10.186723	9.118083	0
1500968820	10.159451	9.120346	0
1500969420	10.132166	9.130053	0
1500970020	10.10487	9.139777	0
1500970620	10.077562	9.134629	0
1500971220	10.050242	9.144376	0
1500971820	10.022909	9.139246	0
1500972420	9.995564	9.163924	0
1500973020	9.968207	9.166259	0
1500973620	9.931712	9.164413	0
1500974220	9.904326	9.174235	0
1500974820	9.876928	9.169138	0
1500975420	9.849517	9.178983	0
1500976020	9.822093	9.181372	0
1500976620	9.794658	9.18377	0
1500977220	9.767209	9.208628	0
1500977820	9.739748	9.211049	0
1500978420	9.721434	9.210171	0
1500979020	9.693951	9.220107	0
1500979620	9.675623	9.219238	0
1500980220	9.648119	9.229197	0
1500980820	9.620603	9.239176	0
1500981420	9.602252	9.238322	0
1500982020	9.574714	9.248324	0
1500982620	9.565532	9.25919	0
1500983220	9.537977	9.254163	0
1500983820	9.5196	9.253326	0
1500984420	9.492023	9.270906	3.58897
1500985020	9.482828	9.281804	19.48298
1500985620	9.455234	9.284339	68.70314
1500986220	9.43683	9.283518	169.70701
1500986820	9.418421	9.305369	316.34207
1500987420	9.400006	9.304554	482.46011
1500988020	9.390796	9.330661	651.65441
1500988620	9.372372	9.329848	799.31489
1500989220	9.353942	9.344222	934.15762
1500989820	9.335507	9.335822	1049.51737
1500990420	9.335507	9.343415	1189.4872
1500991020	9.317065	9.365428	1422.25754
1500991620	9.307842	9.368836	1599.14249
