time,temp,oxy,light
1501031280,12.116523,9.052661,1213.76952
1501031880,12.045805,9.069206,1086.5841
1501032480,11.992723,9.064946,1005.46584
1501033080,11.930746,9.086034,898.30962
1501033680,11.868718,9.099755,793.15632
1501034280,11.815509,9.103045,750.09354
1501034880,11.771139,9.110784,781.1388
1501035480,11.717859,9.129071,733.06872
1501036080,11.66454,9.132464,576.84096
1501036680,11.620078,9.140304,355.5183
1501037280,11.584488,9.122686,159.23214
1501037880,11.54888,9.157403,92.13432
1501038480,11.513255,9.154746,78.11388
1501039080,11.477612,9.174589,67.09782
1501039680,11.44195,9.171958,51.07446
1501040280,11.397348,9.187454,32.04672
1501040880,11.352717,9.202999,18.02628
1501041480,11.316992,9.207938,8.01168
1501042080,11.281249,9.197848,0
1501042680,11.236543,9.205942,0
1501043280,11.200758,9.225999,0
1501043880,11.164954,9.231015,0
1501044480,11.129131,9.236049,0
1501045080,11.093289,9.248653,0
1501045680,11.057428,9.253727,0
1501046280,11.03052,9.263217,0
1501046880,10.985649,9.256369,0
1501047480,10.958712,9.288608,0
1501048080,10.922779,9.286175,0
1501048680,10.895816,9.303331,0
1501049280,10.859849,9.300921,0
1501049880,10.832861,9.310519,0
1501050480,10.79686,9.300545,0
1501051080,10.769846,9.317763,0
1501051680,10.74282,9.335021,0
1501052280,10.715784,9.329451,0
1501052880,10.688736,9.339123,0
1501053480,10.661677,9.341189,0
1501054080,10.625581,9.354127,0
1501054680,10.607525,9.360608,0
1501055280,10.571399,9.365953,0
1501055880,10.553328,9.349552,0
1501056480,10.526212,9.382219,0
1501057080,10.499084,9.376699,0
1501057680,10.471945,9.378838,0
1501058280,10.453846,9.393023,0
1501058880,10.426687,9.379875,0
1501059480,10.399517,9.389689,0
1501060080,10.381397,9.388588,0
1501060680,10.363272,9.410471,0
1501061280,10.336074,9.397334,0
1501061880,10.317936,9.403906,0
1501062480,10.290718,9.421453,0
1501063080,10.281643,9.432435,0
1501063680,10.25441,9.426975,0
1501064280,10.227165,9.444584,0
1501064880,10.208995,9.435825,0
1501065480,10.190819,9.442451,0
1501066080,10.172639,9.449085,0
1501066680,10.154452,9.471146,0
1501067280,10.136261,9.462378,0
1501067880,10.108964,9.464659,0
1501068480,10.090759,9.463617,0
1501069080,10.081654,9.474664,0
1501069680,10.063441,9.481344,0
1501070280,10.045222,9.464884,0
1501070880,10.026998,9.463858,1.00146
1501071480,10.008769,9.462837,11.01606
1501072080,9.999652,9.481603,34.04964
1501072680,9.981414,9.480586,35.0511
1501073280,9.963171,9.502751,63.09198
1501073880,9.954047,9.506112,104.15184
1501074480,9.935796,9.505101,148.21608
1501075080,9.926668,9.50073,194.28324
1501075680,9.917539,9.511835,256.37376
1501076280,9.908408,9.530709,284.41464
1501076880,9.899276,9.518576,301.43946
1501077480,9.899276,9.503094,306.44676
1501078080,9.890143,9.514204,310.4526
1501078680,9.881008,9.517577,302.44092
1501079280,9.881008,9.509834,279.40734
1501079880,9.871872,9.520952,340.4964
1501080480,9.862734,9.524331,481.70226
1501081080,9.862734,9.539848,693.01032
1501081680,9.853595,9.535468,912.33006
1501082280,9.844455,9.538853,1039.51548
1501082880,9.844455,9.531093,1066.5549
1501083480,9.853595,9.543233,1151.679
1501084080,9.853595,9.51996,1290.88194
1501084680,9.853595,9.551005,1473.14766
1501085280,9.862734,9.524331,1567.2849
1501085880,9.881008,9.540847,1547.2557
1501086480,9.899276,9.541851,1634.38272
1501087080,9.926668,9.547254,1680.44988
