time	temp	oxy	light
1500858600	13.291814	8.484619	1927.8105
1500859200	13.265681	8.499705	1692.4674
1500859800	13.222108	8.527252	1251.825
1500860400	13.178513	8.526929	1166.7009
1500861000	13.134897	8.512682	1091.5914
1500861600	13.082528	8.522111	1016.4819
1500862200	13.030128	8.53856	936.3651
1500862800	12.977696	8.541081	846.2337
1500863400	12.925231	8.550623	751.095
1500864000	12.863981	8.569977	655.9563
1500864600	12.811445	8.572597	570.8322
1500865200	12.758876	8.582263	480.7008
1500865800	12.706274	8.584948	365.5329
1500866400	12.653638	8.587664	270.3942
1500867000	12.600968	8.597432	215.3139
1500867600	12.548263	8.607241	150.219
1500868200	12.495524	8.631176	85.1241
1500868800	12.433951	8.629802	40.0584
1500869400	12.381136	8.632687	15.0219
1500870000	12.328286	8.642656	0
1500870600	12.275399	8.645607	0
1500871200	12.213653	8.679726	0
1500871800	12.160688	8.689839	0
1500872400	12.116523	8.711319	0
1500873000	12.054648	8.717297	0
1500873600	12.010421	8.703325	0
1500874200	11.948459	8.737827	0
1500874800	11.895308	8.726785	0
1500875400	11.83325	8.75431	0
1500876000	11.780015	8.779025	0
1500876600	11.717859	8.785277	0
1500877200	11.65565	8.798745	0
1500877800	11.593387	8.805098	0
1500878400	11.539976	8.822894	0
1500879000	11.468698	8.825135	0
1500879600	11.415192	8.850246	0
1500880200	11.352717	8.849596	0
1500880800	11.290186	8.885082	0
1500881400	11.227598	8.884517	0
1500882000	11.164954	8.891234	0
1500882600	11.102251	8.912491	0
1500883200	11.04846	8.923522	0
1500883800	10.976671	8.940726	0
1500884400	10.913793	8.940393	0
1500885000	10.850855	8.976522	0
1500885600	10.778852	8.986677	0
1500886200	10.715784	8.979189	0
1500886800	10.652655	9.008282	0
1500887400	10.598496	9.012383	0
1500888000	10.526212	9.037462	0
1500888600	10.462896	9.044807	0
1500889200	10.390458	9.062724	0
1500889800	10.327006	9.070194	0
1500890400	10.263489	9.070355	0
1500891000	10.190819	9.110642	0
1500891600	10.127163	9.118301	0
1500892200	10.063441	9.126016	0
1500892800	9.990534	9.151852	0
1500893400	9.926668	9.1597	0
1500894000	9.862734	9.167606	0
1500894600	9.798732	9.197907	0
1500895200	9.743819	9.202661	0
1500895800	9.688854	9.21492	0
1500896400	9.624664	9.230533	0
1500897000	9.578771	9.247081	0
1500897600	9.523651	9.252011	0
1500898200	9.468479	9.279499	0
1500898800	9.422463	9.273663	15.0219
1500899400	9.376409	9.275367	45.0657
1500900000	9.321096	9.303018	90.1314
1500900600	9.274961	9.31986	150.219
1500901200	9.228788	9.336758	200.292
1500901800	9.182578	9.361286	245.3577
1500902400	9.145583	9.359738	290.4234
1500903000	9.108563	9.373366	340.4964
1500903600	9.062254	9.390453	475.6935
1500904200	9.025179	9.396557	550.803
1500904800	8.997356	9.414468	615.8979
1500905400	8.96952	9.417173	665.9709
1500906000	8.94167	9.427513	736.0731
1500906600	8.923095	9.411551	791.1534
1500907200	8.904514	9.433696	851.241
1500907800	8.895222	9.44479	936.3651
1500908400	8.885927	9.448253	1031.5038
1500909000	8.876631	9.43644	1131.6498
1500909600	8.876631	9.459366	1241.8104
1500910200	8.895222	9.452433	1346.9637
1500910800	8.904514	9.448971	1427.0805
1500911400	8.923095	9.472662	1502.19
1500912000	8.960238	9.435873	1572.2922
1500912600	8.988079	9.440799	1682.4528
1500913200	9.025179	9.465252	1812.6426
1500913800	9.080782	9.429291	1947.8397
1500914400	9.145583	9.435819	2759.0223
1500915000	9.210309	9.442416	3815.5626
1500915600	9.284191	9.415094	5159.1881
1500916200	9.357977	9.403143	7085.3295
1500916800	9.440874	9.403133	8393.9039
1500917400	9.523651	9.387977	6971.8307
1500918000	9.624664	9.381438	4803.6698
1500918600	9.734661	9.364092	3553.5139
1500919200	9.835313	9.350251	3333.1927
1500919800	9.917539	9.328009	5810.1371
1500920400	10.026998	9.303597	8206.862
1500921000	10.118064	9.270846	10573.44577
1500921600	10.199908	9.264113	10650
1500922200	10.308865	9.247751	11743.3632
1500922800	10.417632	9.231563	15742.72683
1500923400	10.508128	9.191989	28159.3935
1500924000	10.589465	9.170762	39899.36363
1500924600	10.697753	9.140169	66666.66667
1500925200	10.787856	9.108674	85362.24837
1500925800	10.886826	9.111278	102695.5817
1500926400	10.94973	9.096819	102411.8884
1500927000	11.03949	9.065722	84382.97333
1500927600	11.111212	9.040983	65716.30667
1500928200	11.191808	9.028002	47982.11917
1500928800	11.27231	9.007767	39702.11917
1500929400	11.334857	8.986409	32517.11917
1500930000	11.424113	8.963362	23445
1500930600	11.539976	8.946015	21730
1500931200	11.65565	8.914293	20015
1500931800	11.744504	8.891737	17955
1500932400	11.82438	8.872282	16450
1500933000	11.886445	8.84438	15350
1500933600	11.948459	8.831012	13500
1500934200	12.028115	8.811856	9378.189933
1500934800	12.107687	8.785632	5262.812933
1500935400	12.169518	8.772494	2804.088
1500936000	12.213653	8.758035	2623.8252
1500936600	12.240122	8.735097	3349.8837
1500937200	12.248943	8.732219	5668.2636
1500937800	12.248943	8.739356	4206.132
1500938400	12.2313	8.752262	2929.2705
1500939000	12.222477	8.740856	2819.1099
1500939600	12.213653	8.729468	2408.5113
1500940200	12.213653	8.729468	2068.0149
1500940800	12.2313	8.716593	2418.5259
1500941400	12.248943	8.717967	1922.8032
1500942000	12.257763	8.707983	2007.9273
1500942600	12.275399	8.702251	1817.6499
1500943200	12.275399	8.709361	1717.5039
1500943800	12.275399	8.695148	6789.8988
1500944400	12.266581	8.698011	3384.9348
1500945000	12.257763	8.700875	2032.9638
1500945600	12.240122	8.699504	2088.0441
1500946200	12.213653	8.708111	1281.8688
1500946800	12.187175	8.709622	1181.7228
1500947400	12.160688	8.704033	1101.606
1500948000	12.116523	8.704214	1026.4965
1500948600	12.090011	8.719972	946.3797
1500949200	12.045805	8.727303	851.241
1500949800	12.010421	8.717532	756.1023
1500950400	11.966168	8.73202	655.9563
1500951000	11.921888	8.760831	570.8322
1500951600	11.886445	8.743939	490.7154
1500952200	11.842118	8.76567	365.5329
1500952800	11.806637	8.770229	280.4088
1500953400	11.762262	8.749172	210.3066
1500954000	11.726742	8.775181	140.2044
1500954600	11.67343	8.792843	85.1241
1500955200	11.637866	8.797481	35.0511
1500955800	11.602285	8.823679	5.0073
1500956400	11.566687	8.813988	0
1500957000	11.53107	8.8115	0
1500957600	11.486524	8.826365	0
1500958200	11.450867	8.838291	0
1500958800	11.406271	8.853239	0
1500959400	11.361646	8.868232	0
1500960000	11.316992	8.883272	0
1500960600	11.281249	8.880866	0
1500961200	11.236543	8.874272	0
1500961800	11.200758	8.893591	0
1500962400	11.156	8.923264	0
1500963000	11.111212	8.923958	0
1500963600	11.066395	8.917422	0
1500964200	11.021548	8.939957	0
1500964800	10.976671	8.955282	0
1500965400	10.931764	8.956075	0
1500966000	10.886826	8.971472	0
1500966600	10.841858	8.979612	0
1500967200	10.79686	8.98048	0
1500967800	10.75183	9.003302	0
1500968400	10.706769	9.01154	0
1500969000	10.661677	9.012483	0
1500969600	10.625581	9.01765	0
1500970200	10.580432	9.025969	0
1500970800	10.535252	9.03432	0
1500971400	10.490039	9.050048	0
1500972000	10.453846	9.040617	0
1500972600	10.408575	9.063755	0
1500973200	10.372335	9.083798	0
1500973800	10.336074	9.081753	0
1500974400	10.299792	9.087099	0
1500975000	10.263489	9.099848	0
1500975600	10.218081	9.108433	0
1500976200	10.18173	9.12865	0
1500976800	10.154452	9.116068	0
