time,temp,oxy,light
1530749100,9.798732,9.523095,1832.6718
1530749400,9.798732,9.538603,1617.3579
1530749700,9.807879,9.527458,1642.3944
1530750000,9.807879,9.504235,1557.2703
1530750300,9.807879,9.527458,1712.4966
1530750600,9.817025,9.516327,1672.4382
1530750900,9.817025,9.524072,1662.4236
1530751200,9.817025,9.524072,1206.7593
1530751500,9.817025,9.516327,1126.6425
1530751800,9.82617,9.50521,1417.0659
1530752100,9.82617,9.512946,1366.9929
1530752400,9.82617,9.512946,1372.0002
1530752700,9.835313,9.517307,1462.1316
1530753000,9.835313,9.525054,1346.9637
1530753300,9.844455,9.49846,1216.7739
1530753600,9.835313,9.494108,1126.6425
1530753900,9.844455,9.490737,1016.4819
1530754200,9.844455,9.506191,721.0512
1530754500,9.835313,9.501834,691.0074
1530754800,9.844455,9.49846,911.3286
1530755100,9.844455,9.490737,821.1972
1530755400,9.844455,9.490737,831.2118
1530755700,9.844455,9.49846,741.0804
1530756000,9.844455,9.48302,655.9563
1530756300,9.853595,9.487368,625.9125
1530756600,9.844455,9.48302,545.7957
1530756900,9.844455,9.48302,495.7227
1530757200,9.844455,9.490737,435.6351
1530757500,9.844455,9.48302,420.6132
1530757800,9.844455,9.48302,395.5767
1530758100,9.844455,9.475311,300.438
1530758400,9.844455,9.467609,310.4526
1530758700,9.835313,9.478677,365.5329
1530759000,9.835313,9.478677,370.5402
1530759300,9.835313,9.478677,265.3869
1530759600,9.835313,9.494108,210.3066
1530759900,9.835313,9.478677,210.3066
1530760200,9.82617,9.482045,195.2847
1530760500,9.835313,9.478677,165.2409
1530760800,9.82617,9.466637,140.2044
1530761100,9.817025,9.470002,120.1752
1530761400,9.817025,9.485415,110.1606
1530761700,9.817025,9.477705,85.1241
1530762000,9.817025,9.470002,60.0876
1530762300,9.807879,9.46567,30.0438
1530762600,9.807879,9.481075,10.0146
1530762900,9.807879,9.473369,10.0146
1530763200,9.807879,9.488788,15.0219
1530763500,9.807879,9.46567,5.0073
1530763800,9.798732,9.484447,5.0073
1530764100,9.798732,9.476738,0
1530764400,9.789583,9.48011,0
1530764700,9.789583,9.48011,0
1530765000,9.789583,9.48011,0
1530765300,9.780433,9.491197,0
1530765600,9.780433,9.468076,0
1530765900,9.771282,9.471447,0
1530766200,9.771282,9.494576,0
1530766500,9.771282,9.471447,0
1530766800,9.771282,9.471447,0
1530767100,9.762129,9.482525,0
1530767400,9.762129,9.497957,0
1530767700,9.752974,9.485903,0
1530768000,9.752974,9.478195,0
1530768300,9.752974,9.485903,0
