time	temp	oxy	light
1530749100	10.540185	9.451668	3347.9963
1530749400	10.540185	9.451668	3071.1329
1530749700	10.531146	9.462727	3168.5478
1530750000	10.540185	9.436191	2886.5573
1530750300	10.531146	9.439493	3276.2169
1530750600	10.531146	9.431763	3430.0299
1530750900	10.531146	9.439493	3086.5142
1530751200	10.522106	9.435065	2055.9671
1530751500	10.513065	9.422918	2096.9839
1530751800	10.513065	9.43064	2732.7443
1530752100	10.504023	9.426219	2537.9145
1530752400	10.504023	9.433943	2768.634
1530752700	10.494979	9.437248	2866.0489
1530753000	10.494979	9.444982	2512.279
1530753300	10.485934	9.456036	2302.0679
1530753600	10.485934	9.425104	2204.653
1530753900	10.476888	9.42069	1856.0102
1530754200	10.476888	9.428408	1256.1395
1530754500	10.458791	9.396477	1445.8422
1530754800	10.44069	9.418481	1743.214
1530755100	10.431637	9.39868	1625.2907
1530755400	10.422583	9.409679	1620.1636
1530755700	10.422583	9.417384	1363.8086
1530756000	10.413528	9.405283	1225.3769
1530756300	10.395414	9.419602	1168.9788
1530756600	10.386354	9.407503	1051.0555
1530756900	10.377294	9.418516	953.6406
1530757200	10.368232	9.398729	922.878
1530757500	10.350105	9.405346	922.878
1530757800	10.341039	9.400963	794.7005
1530758100	10.331972	9.404274	656.2688
1530758400	10.313835	9.38784	692.1585
1530758700	10.295692	9.39446	779.3192
1530759000	10.286618	9.405462	687.0314
1530759300	10.277543	9.416479	466.5661
1530759600	10.25939	9.407727	379.4054
1530759900	10.250311	9.395672	369.1512
1530760200	10.232149	9.402311	338.3886
1530760500	10.223067	9.413327	292.2447
1530760800	10.213983	9.40127	261.4821
1530761100	10.204897	9.39691	235.8466
1530761400	10.186723	9.40356	210.2111
1530761700	10.177633	9.391525	158.9401
1530762000	10.168543	9.387176	97.4149
1530762300	10.159451	9.41355	51.271
1530762600	10.150357	9.401506	20.5084
1530762900	10.141262	9.397155	20.5084
1530763200	10.123069	9.403819	25.6355
1530763500	10.123069	9.396139	15.3813
1530763800	10.10487	9.41049	5.1271
1530764100	10.095769	9.398461	0
1530764400	10.086666	9.41717	5.1271
1530764700	10.077562	9.428213	0
1530765000	10.068457	9.416163	0
1530765300	10.050242	9.430555	0
1530765600	10.050242	9.422854	0
1530765900	10.041132	9.433907	0
1530766200	10.032021	9.429554	0
1530766500	10.022909	9.417511	0
1530766800	10.013795	9.428558	0
1530767100	10.004681	9.424213	0
1530767400	9.986447	9.446341	0
1530767700	9.977327	9.434282	0
1530768000	9.968207	9.437642	0
1530768300	9.959085	9.433299	0
1530768600	9.949962	9.44437	0
1530768900	9.949962	9.459809	0
1530769200	9.931712	9.451106	0
1530769500	9.922585	9.454477	0
1530769800	9.913456	9.45785	0
1530770100	9.904326	9.453504	0
1530770400	9.895194	9.456878	0
1530770700	9.886062	9.452535	0
1530771000	9.876928	9.455911	0
1530771300	9.867792	9.482489	0
1530771600	9.867792	9.474749	0
1530771900	9.858655	9.454949	0
1530772200	9.858655	9.485878	0
1530772500	9.840377	9.484914	0
1530772800	9.840377	9.477173	0
1530773100	9.831236	9.480563	0
1530773400	9.831236	9.465097	0
1530773700	9.822093	9.476216	0
1530774000	9.81295	9.479607	0
1530774300	9.81295	9.471872	0
1530774600	9.803804	9.475263	0
1530774900	9.803804	9.475263	0
1530775200	9.794658	9.478657	0
1530775500	9.78551	9.474316	0
1530775800	9.77636	9.48545	0
1530776100	9.767209	9.481108	0
1530776400	9.758057	9.492251	0
1530776700	9.748903	9.487908	0
1530777000	9.739748	9.491312	0
1530777300	9.730592	9.494718	0
1530777600	9.721434	9.490378	0
1530777900	9.721434	9.498125	0
1530778200	9.712274	9.486042	0
1530778500	9.703114	9.504948	0
1530778800	9.693951	9.485116	0
1530779100	9.684788	9.488524	0
1530779400	9.684788	9.496269	0
1530779700	9.675623	9.499682	0
1530780000	9.666456	9.510854	0
1530780300	9.657289	9.491017	0
1530780600	9.648119	9.50218	0
1530780900	9.638949	9.505599	0
1530781200	9.620603	9.512444	0
1530781500	9.611428	9.51587	0
1530781800	9.602252	9.496034	0
1530782100	9.583895	9.541716	0
1530782400	9.574714	9.529596	0
1530782700	9.556348	9.520928	0
1530783000	9.547163	9.539913	0
1530783300	9.537977	9.527802	0
1530783600	9.5196	9.542464	0
1530783900	9.510409	9.53813	0
1530784200	9.492023	9.545026	0
1530784500	9.492023	9.545026	0
1530784800	9.464433	9.547598	0
1530785100	9.455234	9.551053	0
