time,temp,oxy,light
1530065100,11.008475,8.91768,548.5997
1530065400,10.990525,8.894758,528.0913
1530065700,10.981548,8.897834,507.5829
1530066000,10.963591,8.896729,487.0745
1530066300,10.945629,8.910157,466.5661
1530066600,10.936646,8.905972,451.1848
1530066900,10.927662,8.91633,430.6764
1530067200,10.90969,8.915233,410.168
1530067500,10.891713,8.921416,379.4054
1530067800,10.882723,8.92451,369.1512
1530068100,10.864739,8.930705,353.7699
1530068400,10.84675,8.922338,328.1344
1530068700,10.837754,8.932721,281.9905
1530069000,10.819758,8.93164,261.4821
1530069300,10.801757,8.930565,251.2279
1530069600,10.783751,8.936779,230.7195
1530069900,10.756733,8.938822,220.4653
1530070200,10.738715,8.937759,199.9569
1530070500,10.720691,8.951286,184.5756
1530070800,10.702663,8.942935,158.9401
1530071100,10.675612,8.9523,138.4317
1530071400,10.657571,8.958553,112.7962
1530071700,10.639526,8.950211,92.2878
1530072000,10.621475,8.949173,66.6523
1530072300,10.603419,8.94814,41.0168
1530072600,10.585358,8.961704,30.7626
1530072900,10.567293,8.960676,15.3813
1530073200,10.540185,8.977412,10.2542
1530073500,10.522106,8.96908,0
1530073800,10.504023,8.960763,5.1271
1530074100,10.476888,8.984831,0
1530074400,10.449741,8.986981,0
1530074700,10.431637,8.98598,0
1530075000,10.404471,8.980829,0
1530075300,10.377294,9.012312,0
1530075600,10.359169,9.003987,0
1530075900,10.331972,9.006179,0
1530076200,10.304764,9.030413,0
1530076500,10.277543,9.025275,0
1530076800,10.25939,9.016962,0
1530077100,10.232149,9.011852,0
1530077400,10.195811,9.039325,0
1530077700,10.168543,9.041576,0
1530078000,10.141262,9.058571,0
1530078300,10.123069,9.050259,0
1530078600,10.095769,9.045175,0
1530078900,10.068457,9.054825,0
1530079200,10.041132,9.079255,0
1530079500,10.013795,9.081566,0
1530079800,9.986447,9.091278,0
1530080100,9.959085,9.064073,0
1530080400,9.931712,9.088554,0
1530080700,9.904326,9.120527,0
1530081000,9.867792,9.103916,0
1530081300,9.849517,9.125263,0
1530081600,9.822093,9.112815,0
1530081900,9.794658,9.130039,0
1530082200,9.758057,9.128297,0
1530082500,9.739748,9.149719,0
1530082800,9.712274,9.159587,0
1530083100,9.675623,9.180235,0
1530083400,9.657289,9.149585,0
1530083700,9.629777,9.166926,0
1530084000,9.602252,9.176846,0
1530084300,9.574714,9.186786,0
1530084600,9.547163,9.189275,0
1530084900,9.5196,9.191774,0
1530085200,9.492023,9.209234,0
1530085500,9.473631,9.200943,0
1530085800,9.446033,9.195998,0
1530086100,9.409214,9.231815,0
1530086400,9.390796,9.216036,0
1530086700,9.363158,9.226084,0
1530087000,9.353942,9.214461,0
1530087300,9.326287,9.247018,0
1530087600,9.298617,9.234597,0
1530087900,9.270935,9.252203,0
1530088200,9.252472,9.25895,0
1530088500,9.234004,9.250675,0
1530088800,9.20629,9.26081,0
1530089100,9.187807,9.260058,0
1530089400,9.16007,9.285279,0
1530089700,9.141572,9.284535,0
1530090000,9.123067,9.283796,0
1530090300,9.095299,9.286463,0
1530090600,9.076779,9.285735,0
1530090900,9.048988,9.295959,0
1530091200,9.021183,9.306202,0
1530091500,9.002639,9.313042,0
1530091800,8.984088,9.312333,0
1530092100,8.956251,9.315057,0
1530092400,8.9284,9.295149,0
1530092700,8.909825,9.339797,0
1530093000,8.891243,9.331537,0
1530093300,8.863359,9.34187,0
1530093600,8.844762,9.326057,0
1530093900,8.826159,9.348096,0
1530094200,8.807549,9.347427,0
1530094500,8.779623,9.350222,0
1530094800,8.760997,9.357147,0
1530095100,8.742366,9.364081,0
1530095400,8.714406,9.382101,0
1530095700,8.695759,9.381455,0
1530096000,8.677105,9.380814,0
1530096300,8.658444,9.387784,0
1530096600,8.630441,9.405876,0
1530096900,8.611765,9.405248,0
1530097200,8.593082,9.419881,0
1530097500,8.565046,9.399892,0
1530097800,8.546346,9.414526,0
1530098100,8.527641,9.429186,0
1530098400,8.49957,9.416831,0
1530098700,8.480848,9.423867,0
1530099000,8.46212,9.438554,0
1530099300,8.443385,9.445614,0
1530099600,8.424644,9.429742,0
1530099900,8.405895,9.459762,5.1271
1530100200,8.387141,9.443875,5.1271
1530100500,8.358996,9.446847,20.5084
1530100800,8.340225,9.453937,46.1439
1530101100,8.321447,9.445728,61.5252
1530101400,8.302663,9.468144,82.0336
1530101700,8.283871,9.475261,107.6691
1530102000,8.265073,9.467047,169.1943
1530102300,8.246269,9.489525,215.3382
1530102600,8.227457,9.496671,240.9737
1530102900,8.208639,9.496137,281.9905
1530103200,8.189815,9.487924,328.1344
1530103500,8.170983,9.502771,410.168
1530103800,8.152145,9.50225,487.0745
1530104100,8.142723,9.513534,538.3455
1530104400,8.123874,9.520722,553.7268
1530104700,8.114448,9.508916,589.6165
1530105000,8.095589,9.546964,656.2688
1530105300,8.086157,9.519706,666.523
1530105600,8.067288,9.526912,692.1585
1530105900,8.057851,9.553684,733.1753
1530106200,8.048412,9.534127,779.3192
1530106500,8.038972,9.553186,912.6238
1530106800,8.02953,9.556806,1158.7246
1530107100,8.020086,9.583668,1220.2498
1530107400,8.020086,9.552694,1240.7582
1530107700,8.01064,9.571795,1384.317
1530108000,8.01064,9.564052,1527.8758
1530108300,8.001193,9.598703,1450.9693
1530108600,8.001193,9.575424,1368.9357
1530108900,8.001193,9.583177,1538.13
1530109200,8.001193,9.567678,1809.8663
1530109500,8.001193,9.583177,1897.027
1530109800,8.01064,9.564052,1927.7896
1530110100,8.01064,9.571795,1994.4419
1530110400,8.020086,9.575915,2368.7202
1530110700,8.02953,9.587796,2471.2622
1530111000,8.048412,9.580537,2942.9554
1530111300,8.057851,9.584668,3389.0131
1530111600,8.076723,9.600711,4665.661
1530111900,8.095589,9.577929,4880.9992
1530112200,8.114448,9.586206,4404.1789
1530112500,8.142723,9.575353,4414.4331
1530112800,8.161565,9.583642,4306.764
1530113100,8.1804,9.568663,4060.6632
1530113400,8.199228,9.576957,3840.1979
1530113700,8.227457,9.558397,3532.5719
1530114000,8.236864,9.562544,6537.0525
1530114300,8.255672,9.539883,3737.6559
1530114600,8.283871,9.544582,3312.1066
1530114900,8.293268,9.540997,3968.3754
1530115200,8.312056,9.533834,3676.1307
1530115500,8.330837,9.534402,3301.8524
1530115800,8.349612,9.511826,4419.5602
1530116100,8.377761,9.531983,6557.5609
1530116400,8.405895,9.50586,3758.1643
1530116700,8.434015,9.526031,5357.8195
1530117000,8.471485,9.504093,6475.5273
1530117300,8.49021,9.481613,4091.4258
1530117600,8.518286,9.501767,4455.4499
1530117900,8.555697,9.472237,4260.6201
1530118200,8.583738,9.484705,3419.7757
1530118500,8.621104,9.462925,2594.3126
1530118800,8.649111,9.467725,2850.6676
1530119100,8.677105,9.472541,4722.0591
1530119400,8.714406,9.435507,6362.7311
1530119700,8.751682,9.444492,10028.6076
1530120000,8.779623,9.464683,9064.7128
1530120300,8.798242,9.465366,11474.4498
1530120600,8.835461,9.451387,12094.8289
1530120900,8.863359,9.440928,29142.4364
1530121200,8.9284,9.454911,33080.0492
1530121500,8.965532,9.425683,34520.7643
1530121800,9.011912,9.431333,38832.6554
1530122100,9.048988,9.402211,30926.6672
1530122400,9.08604,9.373195,43098.4026
1530122700,9.123067,9.389937,36515.2062
1530123000,9.150822,9.37202,41770.4837
1530123300,9.187807,9.358331,39017.231
1530123600,9.224768,9.359875,53598.7034
1530123900,9.261704,9.331057,60433.1277
1530124200,9.307842,9.329233,60022.9597
1530124500,9.335507,9.303924,57310.7238
1530124800,9.390796,9.291214,37094.5685
1530125100,9.446033,9.293656,24471.6483
1530125400,9.501217,9.296141,19031.7952
1530125700,9.556348,9.268464,10387.5046
1530126000,9.611428,9.248422,8034.1657
1530126300,9.657289,9.254336,8054.6741
1530126600,9.712274,9.234387,5614.1745
1530126900,9.767209,9.222015,6306.333
1530127200,9.831236,9.206397,11253.9845
1530127500,9.895194,9.190852,9192.8903
1530127800,9.968207,9.194542,5701.3352
1530128100,10.032021,9.17912,13525.2898
1530128400,10.11397,9.179676,55059.9269
1530128700,10.186723,9.153678,53250.0606
1530129000,10.268467,9.139473,58920.6332
1530129300,10.341039,9.143485,58659.1511
1530129600,10.404471,9.135869,33644.0302
1530129900,10.46784,9.105991,34664.3231
1530130200,10.540185,9.102733,49845.6662
1530130500,10.603419,9.087875,19944.419
1530130800,10.603419,9.073053,14668.6331
1530131100,10.648549,9.072012,15991.4249
1530131400,10.675612,9.055124,9485.135
1530131700,10.666592,9.036134,10151.658
1530132000,10.68463,9.051966,10971.994
1530132300,10.720691,9.031977,8818.612
1530132600,10.774746,9.042611,6414.0021
1530132900,10.801757,9.011084,5362.9466
1530133200,10.801757,9.011084,5455.2344
1530133500,10.792755,8.992171,5296.2943
1530133800,10.774746,8.991088,7290.7362
1530134100,10.774746,8.991088,8700.6887
1530134400,10.783751,8.987961,9397.9743
1530134700,10.810758,9.000603,10525.9363
1530135000,10.84675,9.024877,9644.0751
1530135300,10.864739,9.011254,10013.2263
1530135600,10.891713,8.994535,10126.0225
1530135900,10.90969,9.002997,9157.0006
1530136200,10.918676,8.970528,8675.0532
1530136500,10.936646,8.964318,8290.5207
1530136800,10.927662,8.974747,7926.4966
1530137100,10.927662,8.945486,6798.5346
1530137400,10.918676,8.970528,6839.5514
1530137700,10.918676,8.963207,5967.9444
1530138000,10.918676,8.948585,5552.6493
1530138300,10.90969,8.966313,6603.7048
1530138600,10.918676,8.963207,5783.3688
1530138900,10.927662,8.945486,4163.2052
1530139200,10.927662,8.938187,5157.8626
1530139500,10.936646,8.949692,5639.81
1530139800,10.936646,8.942389,8408.444
1530140100,10.936646,8.942389,5644.9371
1530140400,10.936646,8.935092,6557.5609
