time	temp	oxy	light
1530230700	10.76574	9.082771	4209.3491
1530231000	10.729704	9.073167	2578.9313
1530231300	10.702663	9.075242	2999.3535
1530231600	10.675612	9.077327	3158.2936
1530231900	10.657571	9.068846	3896.596
1530232200	10.639526	9.075181	4055.5361
1530232500	10.630501	9.085765	4086.2987
1530232800	10.621475	9.08894	3799.1811
1530233100	10.603419	9.080461	3312.1066
1530233400	10.576326	9.082579	2261.0511
1530233700	10.549222	9.05511	1215.1227
1530234000	10.504023	9.048828	763.9379
1530234300	10.458791	9.049955	799.8276
1530234600	10.422583	9.047925	763.9379
1530234900	10.386354	9.053287	774.1921
1530235200	10.359169	9.040732	799.8276
1530235500	10.331972	9.050298	799.8276
1530235800	10.304764	9.03777	794.7005
1530236100	10.277543	9.062099	830.5902
1530236400	10.250311	9.064326	835.7173
1530236700	10.223067	9.066563	830.5902
1530237000	10.195811	9.068809	804.9547
1530237300	10.159451	9.066896	779.3192
1530237600	10.123069	9.079771	687.0314
1530237900	10.095769	9.082053	640.8875
1530238200	10.068457	9.084345	712.6669
1530238500	10.032021	9.089881	707.5398
1530238800	10.004681	9.107004	589.6165
1530239100	9.986447	9.106084	481.9474
1530239400	9.959085	9.101009	517.8371
1530239700	9.931712	9.110759	604.9978
1530240000	9.904326	9.120527	604.9978
1530240300	9.886062	9.119629	492.2016
1530240600	9.858655	9.114583	389.6596
1530240900	9.840377	9.128531	384.5325
1530241200	9.81295	9.138346	522.9642
1530241500	9.78551	9.140743	569.1081
1530241800	9.767209	9.147304	533.2184
1530242100	9.748903	9.146434	528.0913
1530242400	9.721434	9.148855	507.5829
1530242700	9.703114	9.147996	369.1512
1530243000	9.675623	9.157874	287.1176
1530243300	9.648119	9.145446	271.7363
1530243600	9.629777	9.159479	215.3382
1530243900	9.602252	9.169392	164.0672
1530244200	9.583895	9.176011	133.3046
1530244500	9.556348	9.178495	107.6691
1530244800	9.537977	9.18513	92.2878
1530245100	9.510409	9.180171	76.9065
1530245400	9.492023	9.186817	56.3981
1530245700	9.464433	9.189336	25.6355
1530246000	9.446033	9.181074	10.2542
1530246300	9.418421	9.198534	10.2542
1530246600	9.400006	9.19774	0
1530246900	9.372372	9.200293	0
1530247200	9.353942	9.206983	0
1530247500	9.326287	9.194614	0
1530247800	9.298617	9.212134	0
1530248100	9.270935	9.229697	0
1530248400	9.252472	9.221447	0
1530248700	9.224768	9.224057	0
1530249000	9.197049	9.219194	0
1530249300	9.178563	9.240918	0
1530249600	9.150822	9.236061	0
1530249900	9.123067	9.23871	0
1530250200	9.104556	9.24548	0
1530250500	9.076779	9.255651	0
1530250800	9.048988	9.265843	0
1530251100	9.030453	9.265131	0
1530251400	9.011912	9.279462	0
1530251700	8.984088	9.274645	0
1530252000	8.956251	9.299959	0
1530252300	8.9284	9.310237	0
1530252600	8.900535	9.305432	0
1530252900	8.88195	9.29721	0
1530253200	8.854061	9.315058	0
1530253500	8.826159	9.325387	0
1530253800	8.816855	9.328834	0
1530254100	8.788933	9.331622	0
1530254400	8.760997	9.349565	0
1530254700	8.742366	9.341338	0
1530255000	8.723728	9.348265	0
1530255300	8.695759	9.36626	0
1530255600	8.677105	9.358035	0
1530255900	8.658444	9.357403	0
1530256200	8.639777	9.356776	0
1530256500	8.611765	9.367221	0
1530256800	8.602424	9.385903	0
1530257100	8.583738	9.392893	0
1530257400	8.555697	9.403395	0
1530257700	8.536995	9.387567	0
1530258000	8.518286	9.394573	0
