time	temp	oxy	light
1530230700	9.127076	9.533341	831.2118
1530231000	9.108563	9.555759	610.8906
1530231300	9.090044	9.539489	475.6935
1530231600	9.062254	9.549918	841.2264
1530231900	9.03445	9.537154	936.3651
1530232200	9.015906	9.559595	896.3067
1530232500	8.997356	9.582094	731.0658
1530232800	8.96952	9.553816	680.9928
1530233100	8.94167	9.572053	540.7884
1530233400	8.913806	9.551572	350.511
1530233700	8.885927	9.562075	145.2117
1530234000	8.848734	9.552879	120.1752
1530234300	8.820823	9.547936	125.1825
1530234600	8.783586	9.546518	120.1752
1530234900	8.755641	9.557061	110.1606
1530235200	8.727682	9.552156	105.1533
1530235500	8.699709	9.570465	100.146
1530235800	8.671721	9.573315	105.1533
1530236100	8.653055	9.588141	115.1679
1530236400	8.625043	9.591013	135.1971
1530236700	8.597017	9.60166	120.1752
1530237000	8.578325	9.593239	110.1606
1530237300	8.559626	9.608115	175.2555
1530237600	8.531565	9.618804	200.292
1530237900	8.51285	9.61816	150.219
1530238200	8.494129	9.633089	175.2555
1530238500	8.4754	9.640246	105.1533
1530238800	8.447296	9.635405	85.1241
1530239100	8.437924	9.631198	80.1168
1530239400	8.419177	9.630579	85.1241
1530239700	8.400422	9.637752	100.146
1530240000	8.381661	9.644935	80.1168
1530240300	8.372278	9.632945	70.1022
1530240600	8.344119	9.643728	50.073
1530240900	8.325337	9.635344	55.0803
1530241200	8.315944	9.646734	65.0949
1530241500	8.297153	9.646146	70.1022
1530241800	8.278355	9.65336	70.1022
1530242100	8.259551	9.660584	85.1241
1530242400	8.24074	9.667818	60.0876
1530242700	8.231332	9.663627	45.0657
1530243000	8.21251	9.655258	35.0511
1530243300	8.193682	9.670307	35.0511
1530243600	8.184265	9.673935	30.0438
1530243900	8.165427	9.67338	30.0438
1530244200	8.156005	9.661393	20.0292
1530244500	8.146582	9.67283	15.0219
1530244800	8.12773	9.6801	15.0219
1530245100	8.118301	9.699393	15.0219
1530245400	8.099439	9.698853	10.0146
1530245700	8.090006	9.694669	0
1530246000	8.08057	9.69049	5.0073
1530246300	8.071133	9.694138	0
1530246600	8.052254	9.693612	0
1530246900	8.042812	9.697265	0
1530247200	8.023922	9.688922	0
1530247500	8.014475	9.708238	0
1530247800	7.995575	9.715566	0
1530248100	7.976668	9.722904	0
1530248400	7.967212	9.718728	0
1530248700	7.957754	9.722401	0
1530249000	7.938833	9.721903	0
1530249300	7.92937	9.72558	0
1530249600	7.910439	9.72509	0
1530249900	7.891501	9.732456	0
1530250200	7.882029	9.736143	0
1530250500	7.86308	9.727812	0
1530250800	7.844124	9.74305	0
1530251100	7.834644	9.746747	0
1530251400	7.815677	9.746281	0
1530251700	7.806192	9.742119	0
1530252000	7.787215	9.757392	0
1530252300	7.777724	9.76898	0
1530252600	7.758736	9.760649	0
1530252900	7.74924	9.772243	0
1530253200	7.730241	9.779684	0
1530253500	7.72074	9.77552	0
1530253800	7.701731	9.78297	0
1530254100	7.692224	9.786699	0
1530254400	7.682715	9.790431	0
1530254700	7.663691	9.797902	0
1530255000	7.654177	9.785843	0
1530255300	7.635143	9.809128	0
1530255600	7.625623	9.797059	0
1530255900	7.616102	9.80871	0
1530256200	7.606579	9.81246	0
1530256500	7.587527	9.819966	0
1530256800	7.577998	9.807893	0
1530257100	7.568467	9.827483	0
1530257400	7.549401	9.819162	0
1530257700	7.549401	9.803341	0
1530258000	7.530327	9.810856	0
1530258300	7.520788	9.830455	0
1530258600	7.501703	9.814232	0
1530258900	7.492158	9.849709	0
1530259200	7.482611	9.845548	0
1530259500	7.473062	9.833461	0
1530259800	7.45396	9.848953	0
1530260100	7.444405	9.844799	0
1530260400	7.434849	9.824799	0
1530260700	7.415732	9.840285	0
1530261000	7.40617	9.852009	0
1530261300	7.387042	9.851653	0
1530261600	7.377474	9.863393	0
1530261900	7.358335	9.870995	0
1530262200	7.348762	9.850958	0
1530262500	7.339188	9.8627	0
1530262800	7.320033	9.862363	0
1530263100	7.310453	9.882082	0
1530263400	7.300871	9.877935	0
1530263700	7.291287	9.88175	0
1530264000	7.272114	9.89736	0
1530264300	7.262525	9.877284	0
1530264600	7.24334	9.876967	0
1530264900	7.233745	9.888752	0
1530265200	7.21455	9.904386	0
1530265500	7.204949	9.884308	0
1530265800	7.195347	9.904079	0
1530266100	7.185742	9.899941	0
1530266400	7.176136	9.911759	0
1530266700	7.156918	9.903485	0
1530267000	7.147306	9.907328	0
1530267300	7.137692	9.911174	0
1530267600	7.118459	9.934864	0
1530267900	7.118459	9.91089	0
1530268200	7.099218	9.926585	0
1530268500	7.089595	9.922452	0
1530268800	7.070342	9.930173	0
1530269100	7.060713	9.926042	0
1530269400	7.051082	9.937905	0
1530269700	7.04145	9.917792	0
1530270000	7.031815	9.929646	0
1530270300	7.022178	9.941516	0
1530270600	7.002899	9.957283	0
1530270900	6.993257	9.95315	0
1530271200	6.983612	9.949021	0
1530271500	6.973966	9.944896	0
1530271800	6.964318	9.95679	0
1530272100	6.954668	9.960679	0
1530272400	6.945016	9.96457	0
1530272700	6.935362	9.968464	0
1530273000	6.925706	9.964337	0
1530273300	6.916048	9.984294	0
1530273600	6.896726	9.984068	5.0073
1530273900	6.896726	9.976035	10.0146
1530274200	6.877397	9.975816	15.0219
1530274500	6.877397	9.975816	15.0219
1530274800	6.86773	9.971695	10.0146
1530275100	6.85806	9.975602	20.0292
1530275400	6.848389	9.987545	25.0365
1530275700	6.838715	9.999505	35.0511
1530276000	6.82904	9.995379	40.0584
1530276300	6.82904	9.987339	30.0438
1530276600	6.819363	10.015407	25.0365
1530276900	6.809684	10.011277	35.0511
1530277200	6.800002	10.007151	45.0657
1530277500	6.800002	9.999102	65.0949
1530277800	6.790319	10.019139	100.146
1530278100	6.790319	10.019139	120.1752
1530278400	6.780634	10.015012	110.1606
1530278700	6.780634	10.023074	95.1387
1530279000	6.780634	10.023074	95.1387
1530279300	6.780634	10.015012	100.146
1530279600	6.770947	10.018947	120.1752
1530279900	6.780634	10.031144	165.2409
1530280200	6.780634	10.023074	150.219
1530280500	6.780634	10.015012	145.2117
1530280800	6.780634	10.047303	150.219
1530281100	6.780634	10.031144	195.2847
1530281400	6.780634	10.03922	190.2774
1530281700	6.780634	10.015012	175.2555
1530282000	6.790319	10.051447	270.3942
1530282300	6.790319	10.035279	315.4599
1530282600	6.800002	10.039418	400.584
1530282900	6.809684	10.04356	485.7081
1530283200	6.819363	10.039621	530.7738
1530283500	6.838715	10.03983	355.5183
1530283800	6.848389	10.035897	250.365
1530284100	6.85806	10.040046	270.3942
1530284400	6.86773	10.036114	395.5767
1530284700	6.877397	10.032186	385.5621
1530285000	6.887063	10.044423	430.6278
1530285300	6.906388	10.036568	415.6059
1530285600	6.916048	10.016499	415.6059
1530285900	6.935362	10.016735	400.584
1530286200	6.954668	10.008913	420.6132
1530286500	6.964318	10.013067	420.6132
1530286800	6.983612	10.005256	425.6205
1530287100	7.002899	10.013574	445.6497
1530287400	7.022178	9.997716	455.6643
1530287700	7.04145	9.997982	465.6789
1530288000	7.060713	9.990202	485.7081
1530288300	7.070342	9.994365	520.7592
1530288600	7.099218	9.982714	580.8468
1530288900	7.108839	9.994931	605.8833
1530289200	7.128076	9.987171	660.9636
1530289500	7.147306	9.979422	696.0147
1530289800	7.176136	9.983899	756.1023
1530290100	7.204949	9.964267	816.1899
1530290400	7.233745	9.960729	876.2775
1530290700	7.272114	9.96942	891.2994
1530291000	7.300871	9.957877	906.3213
1530291300	7.329611	9.93033	951.387
1530291600	7.367906	9.939048	996.4527
1530291900	7.40617	9.947799	996.4527
1530292200	7.444405	9.932515	1006.4673
