time	temp	oxy	light
1530576300	9.917539	9.510163	811.1826
1530576600	9.890143	9.504795	776.1315
1530576900	9.871872	9.51154	751.095
1530577200	9.853595	9.510551	761.1096
1530577500	9.835313	9.501834	731.0658
1530577800	9.817025	9.508588	711.0366
1530578100	9.789583	9.518736	711.0366
1530578400	9.771282	9.517768	691.0074
1530578700	9.734661	9.523588	670.9782
1530579000	9.698018	9.529428	635.9271
1530579300	9.670521	9.547398	585.8541
1530579600	9.633838	9.537761	530.7738
1530579900	9.597132	9.559186	515.7519
1530580200	9.551217	9.576322	530.7738
1530580500	9.51446	9.574494	540.7884
1530580800	9.468479	9.576128	550.803
1530581100	9.440874	9.570901	570.8322
1530581400	9.404046	9.592481	595.8687
1530581700	9.367194	9.59852	585.8541
1530582000	9.330319	9.612384	570.8322
1530582300	9.302646	9.638451	555.8103
1530582600	9.265729	9.621095	535.7811
1530582900	9.247262	9.620247	520.7592
1530583200	9.219549	9.630706	495.7227
1530583500	9.191823	9.641185	470.6862
1530583800	9.173331	9.663863	450.657
1530584100	9.145583	9.65086	420.6132
1530584400	9.108563	9.657059	365.5329
1530584700	9.090044	9.679788	320.4672
1530585000	9.052987	9.670321	250.365
1530585300	9.025179	9.673049	175.2555
1530585600	8.997356	9.683642	140.2044
1530585900	8.9788	9.682856	110.1606
1530586200	8.960238	9.689933	75.1095
1530586500	8.932383	9.70844	55.0803
1530586800	8.904514	9.69548	40.0584
1530587100	8.885927	9.718336	35.0511
1530587400	8.858035	9.729026	35.0511
1530587700	8.839432	9.704633	30.0438
1530588000	8.811516	9.731093	30.0438
1530588300	8.792897	9.738245	25.0365
1530588600	8.755641	9.736773	25.0365
1530588900	8.737003	9.743942	25.0365
1530589200	8.709035	9.754712	15.0219
1530589500	8.690381	9.761905	20.0292
1530589800	8.662389	9.772712	15.0219
1530590100	8.634382	9.767693	10.0146
1530590400	8.606361	9.770605	10.0146
1530590700	8.587671	9.777833	10.0146
1530591000	8.559626	9.804573	5.0073
1530591300	8.531565	9.775787	0
1530591600	8.51285	9.783038	5.0073
1530591900	8.484765	9.793932	0
1530592200	8.466034	9.8171	0
1530592500	8.437924	9.828048	0
1530592800	8.419177	9.827394	0
1530593100	8.391042	9.814495	0
1530593400	8.362893	9.85735	0
1530593700	8.344119	9.832795	0
1530594000	8.325337	9.848104	0
1530594300	8.287755	9.838892	0
1530594600	8.268954	9.862204	0
1530594900	8.250146	9.853613	0
1530595200	8.221922	9.856698	0
1530595500	8.193682	9.883767	0
1530595800	8.165427	9.878882	0
1530596100	8.146582	9.902315	0
1530596400	8.118301	9.881432	0
1530596700	8.099439	9.880863	0
1530597000	8.071133	9.908037	0
1530597300	8.052254	9.899464	0
1530597600	8.023922	9.926705	0
1530597900	8.005026	9.910108	0
1530598200	7.976668	9.913307	0
1530598500	7.957754	9.90476	0
1530598800	7.92937	9.932044	0
1530599100	7.910439	9.915473	0
1530599400	7.891501	9.931005	0
1530599700	7.86308	9.942291	0
1530600000	7.834644	9.953601	0
1530600300	7.815677	9.961154	0
1530600600	7.787215	9.956391	0
1530600900	7.768231	9.972016	0
1530601200	7.74924	9.98767	0
1530601500	7.72074	9.966796	0
1530601800	7.701731	9.998602	0
1530602100	7.673204	9.993868	0
1530602400	7.663691	9.989602	0
1530602700	7.644661	9.997225	0
1530603000	7.625623	9.988703	0
1530603300	7.597054	10.024425	0
1530603600	7.587527	10.012063	0
1530603900	7.568467	10.019722	0
1530604200	7.539865	10.031231	0
1530604500	7.530327	10.026968	0
1530604800	7.511246	10.010367	0
1530605100	7.492158	10.026139	0
1530605400	7.463512	10.045794	0
1530605700	7.45396	10.049651	0
1530606000	7.434849	10.049253	0
1530606300	7.415732	10.056979	0
1530606600	7.396607	10.048475	0
1530606900	7.387042	10.068589	0
1530607200	7.377474	10.064334	0
1530607500	7.358335	10.072086	0
1530607800	7.348762	10.075966	0
1530608100	7.339188	10.063586	0
1530608400	7.320033	10.071348	0
1530608700	7.310453	10.075233	0
1530609000	7.310453	10.08337	0
1530609300	7.291287	10.083011	0
1530609600	7.281702	10.09505	0
1530609900	7.272114	10.082657	0
1530610200	7.262525	10.086553	0
1530610500	7.252934	10.08231	0
