time	temp	oxy	light
1530576300	10.666592	9.351785	1425.3338
1530576600	10.639526	9.346252	1107.4536
1530576900	10.612448	9.348386	1179.233
1530577200	10.585358	9.350529	1292.0292
1530577500	10.558258	9.352682	1327.9189
1530577800	10.522106	9.358121	989.5303
1530578100	10.494979	9.360297	835.7173
1530578400	10.46784	9.377818	758.8108
1530578700	10.449741	9.376724	692.1585
1530579000	10.422583	9.378927	635.7604
1530579300	10.404471	9.38552	594.7436
1530579600	10.386354	9.39212	558.8539
1530579900	10.368232	9.391043	533.2184
1530580200	10.341039	9.400963	512.71
1530580500	10.313835	9.403208	487.0745
1530580800	10.295692	9.386781	466.5661
1530581100	10.277543	9.416479	430.6764
1530581400	10.25939	9.423127	405.0409
1530581700	10.241231	9.429783	369.1512
1530582000	10.223067	9.421027	358.897
1530582300	10.204897	9.427689	348.6428
1530582600	10.177633	9.437698	338.3886
1530582900	10.168543	9.441039	333.2615
1530583200	10.150357	9.440005	323.0073
1530583500	10.132166	9.438977	317.8802
1530583800	10.11397	9.461126	312.7531
1530584100	10.10487	9.44902	302.4989
1530584400	10.086666	9.455727	297.3718
1530584700	10.05935	9.458069	287.1176
1530585000	10.041132	9.457059	276.8634
1530585300	10.022909	9.463785	271.7363
1530585600	9.995564	9.473889	261.4821
1530585900	9.977327	9.472892	251.2279
1530586200	9.959085	9.479642	240.9737
1530586500	9.940838	9.470914	235.8466
1530586800	9.913456	9.488799	225.5924
1530587100	9.895194	9.503334	215.3382
1530587400	9.876928	9.502357	199.9569
1530587700	9.858655	9.509148	189.7027
1530588000	9.831236	9.51158	174.3214
1530588300	9.81295	9.526165	164.0672
1530588600	9.78551	9.505302	143.5588
1530588900	9.767209	9.519885	133.3046
1530589200	9.739748	9.514581	112.7962
1530589500	9.712274	9.532607	97.4149
1530589800	9.693951	9.547246	82.0336
1530590100	9.666456	9.541952	66.6523
1530590400	9.648119	9.533243	51.271
1530590700	9.620603	9.54354	35.8897
1530591000	9.602252	9.558212	25.6355
1530591300	9.574714	9.552947	15.3813
1530591600	9.547163	9.578908	10.2542
1530591900	9.528789	9.56239	5.1271
1530592200	9.492023	9.568408	0
1530592500	9.482828	9.571868	0
1530592800	9.446033	9.585728	0
1530593100	9.418421	9.596146	0
1530593400	9.400006	9.587453	0
1530593700	9.381585	9.610069	0
1530594000	9.353942	9.604857	0
1530594300	9.335507	9.611834	0
1530594600	9.307842	9.614475	0
1530594900	9.270935	9.636326	0
1530595200	9.234004	9.650371	0
1530595500	9.224768	9.630309	0
1530595800	9.197049	9.656577	0
1530596100	9.169317	9.651408	0
1530596400	9.150822	9.650592	0
1530596700	9.113812	9.67259	0
1530597000	9.095299	9.671784	0
1530597300	9.067517	9.674526	0
1530597600	9.039721	9.677279	0
1530597900	9.021183	9.676493	0
1530598200	8.993364	9.695044	0
1530598500	8.965532	9.705731	0
1530598800	8.937685	9.700625	0
1530599100	8.919113	9.715673	0
1530599400	8.891243	9.71849	0
1530599700	8.872655	9.709827	0
1530600000	8.844762	9.736413	0
1530600300	8.816855	9.747195	0
1530600600	8.798242	9.746456	0
1530600900	8.770311	9.741393	0
1530601200	8.742366	9.736346	0
1530601500	8.723728	9.743555	0
1530601800	8.695759	9.762328	0
1530602100	8.677105	9.75368	0
1530602400	8.649111	9.772488	0
1530602700	8.630441	9.771791	0
1530603000	8.602424	9.77473	0
1530603300	8.583738	9.782	0
1530603600	8.555697	9.769057	0
1530603900	8.527641	9.795895	0
1530604200	8.49957	9.79888	0
1530604500	8.480848	9.806191	0
1530604800	8.452753	9.825163	0
1530605100	8.434015	9.824511	0
1530605400	8.405895	9.827539	0
1530605700	8.387141	9.8269	0
1530606000	8.368379	9.818283	0
1530606300	8.340225	9.829321	0
1530606600	8.321447	9.836692	0
1530606900	8.302663	9.844072	0
1530607200	8.283871	9.851463	0
1530607500	8.265073	9.850855	0
1530607800	8.236864	9.861965	0
1530608100	8.227457	9.849654	0
1530608400	8.208639	9.873098	0
1530608700	8.189815	9.880532	0
1530609000	8.170983	9.896014	0
1530609300	8.161565	9.891702	0
1530609600	8.152145	9.887394	0
1530609900	8.1333	9.886817	0
1530610200	8.114448	9.894279	0
1530610500	8.095589	9.917853	0
1530610800	8.076723	9.89315	0
1530611100	8.067288	9.896889	0
1530611400	8.048412	9.920476	0
1530611700	8.038972	9.900078	0
1530612000	8.020086	9.907573	0
1530612300	8.001193	9.923133	0
1530612600	7.982293	9.938722	0
1530612900	7.97284	9.918298	0
1530613200	7.95393	9.950031	0
1530613500	7.944472	9.937654	0
1530613800	7.935013	9.933357	0
1530614100	7.916088	9.932835	0
1530614400	7.906624	9.936608	0
1530614700	7.887689	9.968411	0
1530615000	7.878219	9.964108	0
1530615300	7.868748	9.951726	0
1530615600	7.859274	9.947435	0
1530615900	7.849799	9.95122	0
1530616200	7.840322	9.971183	0
1530616500	7.830843	9.958799	0
1530616800	7.821363	9.978779	0
1530617100	7.811881	9.98258	0
1530617400	7.811881	9.958303	0
1530617700	7.792911	9.965896	0
1530618000	7.783424	9.969697	0
1530618300	7.773934	9.989701	0
1530618600	7.764443	9.961127	0
1530618900	7.754951	9.981114	5.1271
1530619200	7.745456	9.976826	10.2542
1530619500	7.726462	9.992554	15.3813
1530619800	7.716962	9.988265	30.7626
1530620100	7.70746	9.992083	41.0168
1530620400	7.697957	9.987797	87.1607
1530620700	7.688451	10.007844	117.9233
1530621000	7.678944	9.979237	128.1775
1530621300	7.669436	10.007382	143.5588
1530621600	7.650413	10.015047	143.5588
1530621900	7.640898	10.002641	138.4317
1530622200	7.631383	10.014595	138.4317
1530622500	7.612345	10.022274	153.813
1530622800	7.602824	10.017989	158.9401
1530623100	7.593301	10.029965	158.9401
1530623400	7.583776	10.033814	169.1943
1530623700	7.574249	10.029527	189.7027
1530624000	7.55519	10.053528	297.3718
1530624300	7.545658	10.049236	374.2783
1530624600	7.545658	10.041089	502.4558
1530624900	7.526588	10.056963	604.9978
1530625200	7.526588	10.073292	794.7005
1530625500	7.526588	10.065124	820.336
1530625800	7.526588	10.065124	917.7509
1530626100	7.526588	10.081468	825.4631
1530626400	7.526588	10.065124	676.7772
1530626700	7.536124	10.069421	466.5661
1530627000	7.526588	10.056963	461.439
1530627300	7.526588	10.04881	487.0745
1530627600	7.517051	10.052674	533.2184
1530627900	7.507511	10.064701	646.0146
1530628200	7.507511	10.064701	763.9379
1530628500	7.49797	10.076744	789.5734
1530628800	7.49797	10.068574	912.6238
1530629100	7.49797	10.084921	907.4967
1530629400	7.49797	10.076744	2107.2381
1530629700	7.507511	10.081042	6096.1219
1530630000	7.507511	10.072868	1368.9357
1530630300	7.507511	10.081042	1507.3674
1530630600	7.517051	10.068995	1112.5807
1530630900	7.526588	10.065124	886.9883
1530631200	7.545658	10.073722	881.8612
1530631500	7.55519	10.061687	912.6238
1530631800	7.564721	10.074158	979.2761
1530632100	7.583776	10.0746	994.6574
1530632400	7.602824	10.058709	1056.1826
1530632700	7.621865	10.050999	1143.3433
1530633000	7.640898	10.059615	1312.5376
1530633300	7.659925	10.060077	1461.2235
1530633600	7.688451	10.056698	1615.0365
1530633900	7.716962	10.045172	1661.1804
1530634200	7.745456	10.04182	1830.3747
1530634500	7.783424	10.026508	1784.2308
1530634800	7.811881	10.031331	2132.8736
1530635100	7.849799	10.024206	5814.1314
1530635400	7.887689	10.017106	2425.1183
1530635700	7.935013	9.998106	3650.4952
1530636000	7.982293	10.003526	8936.5353
1530636300	8.020086	9.988388	2148.2549
1530636600	8.048412	9.960857	2138.0007
1530636900	8.067288	9.969522	2296.9408
1530637200	8.076723	9.965756	3060.8787
1530637500	8.086157	9.961993	4778.4572
1530637800	8.123874	9.971254	10510.555
