time	temp	oxy	light
1530403500	9.661352	9.313383	2022.9492
1530403800	9.661352	9.336072	2063.0076
1530404100	9.679688	9.306728	2078.0295
1530404400	9.679688	9.291646	2073.0222
1530404700	9.679688	9.299184	1922.8032
1530405000	9.661352	9.305833	1927.8105
1530405300	9.652182	9.316713	1632.3798
1530405600	9.633838	9.323381	1667.4309
1530405900	9.624664	9.311604	1917.7959
1530406200	9.615488	9.322494	2323.3872
1530406500	9.606311	9.318274	1727.5185
1530406800	9.587952	9.317396	1542.2484
1530407100	9.578771	9.328296	1732.5258
1530407400	9.569588	9.316523	1502.19
1530407700	9.560403	9.312313	1767.5769
1530408000	9.560403	9.319864	1892.7594
1530408300	9.551217	9.323208	1617.3579
1530408600	9.54203	9.303905	1176.7155
1530408900	9.532841	9.307245	1091.5914
1530409200	9.523651	9.310588	961.4016
1530409500	9.51446	9.313932	1096.5987
1530409800	9.505266	9.294659	986.4381
1530410100	9.505266	9.287132	1011.4746
1530410400	9.496072	9.305536	861.2556
1530410700	9.486876	9.286286	876.2775
1530411000	9.477678	9.289627	801.168
1530411300	9.468479	9.292969	1056.5403
1530411600	9.459279	9.318934	736.0731
1530411900	9.450077	9.307197	821.1972
1530412200	9.440874	9.30301	791.1534
1530412500	9.431669	9.298827	801.168
1530412800	9.422463	9.317259	701.022
1530413100	9.422463	9.302178	495.7227
1530413400	9.413255	9.313071	605.8833
1530413700	9.404046	9.308887	520.7592
1530414000	9.394835	9.312244	445.6497
1530414300	9.376409	9.296356	315.4599
1530414600	9.367194	9.307244	350.511
1530414900	9.357977	9.30307	175.2555
1530415200	9.33954	9.309794	170.2482
1530415500	9.330319	9.29057	155.2263
1530415800	9.321096	9.301455	145.2117
1530416100	9.302646	9.300654	110.1606
1530416400	9.293419	9.311554	110.1606
1530416700	9.284191	9.299859	90.1314
1530417000	9.265729	9.299068	65.0949
1530417300	9.265729	9.306596	50.073
1530417600	9.247262	9.30581	35.0511
1530417900	9.219549	9.315938	25.0365
1530418200	9.210309	9.311781	15.0219
1530418500	9.201067	9.307628	15.0219
1530418800	9.182578	9.31439	5.0073
1530419100	9.164083	9.328705	5.0073
1530419400	9.154834	9.31701	0
1530419700	9.127076	9.327181	0
1530420000	9.11782	9.338127	0
1530420300	9.099304	9.314746	0
1530420600	9.090044	9.333223	0
1530420900	9.062254	9.343434	0
1530421200	9.043719	9.342694	0
1530421500	9.025179	9.349516	0
1530421800	9.015906	9.345371	0
1530422100	8.997356	9.359766	0
1530422400	8.9788	9.35904	0
1530422700	8.960238	9.35832	0
1530423000	8.950955	9.361745	0
1530423300	8.923095	9.372033	0
1530423600	8.913806	9.375467	0
1530423900	8.904514	9.378903	0
1530424200	8.885927	9.393373	0
1530424500	8.876631	9.38164	0
1530424800	8.858035	9.388528	0
1530425100	8.839432	9.380251	0
1530425400	8.830128	9.391284	0
1530425700	8.811516	9.390597	0
1530426000	8.802207	9.394051	0
1530426300	8.783586	9.416171	0
1530426600	8.774272	9.412027	0
1530426900	8.755641	9.411352	0
1530427200	8.737003	9.425903	0
1530427500	8.718359	9.410018	0
1530427800	8.709035	9.436333	0
1530428100	8.690381	9.428052	0
1530428400	8.681052	9.423916	0
1530428700	8.662389	9.438501	0
1530429000	8.643719	9.445479	0
1530429300	8.625043	9.444834	0
1530429600	8.615703	9.448328	0
1530429900	8.597017	9.440063	0
1530430200	8.587671	9.466469	0
1530430500	8.568976	9.465836	0
1530430800	8.559626	9.44643	0
1530431100	8.550274	9.457567	0
1530431400	8.531565	9.449312	0
1530431700	8.51285	9.471612	0
1530432000	8.494129	9.478648	0
1530432300	8.484765	9.46687	0
1530432600	8.466034	9.47391	0
1530432900	8.447296	9.488617	0
1530433200	8.428551	9.480362	0
1530433500	8.419177	9.491552	0
1530433800	8.400422	9.483303	0
1530434100	8.381661	9.505708	0
